year,Evelene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,0
1911,0
1912,0
1913,5
1914,11
1915,8
1916,15
1917,8
1918,15
1919,21
1920,7
1921,24
1922,12
1923,26
1924,13
1925,17
1926,21
1927,31
1928,20
1929,23
1930,18
1931,19
1932,25
1933,18
1934,18
1935,29
1936,21
1937,23
1938,24
1939,17
1940,15
1941,17
1942,15
1943,12
1944,15
1945,13
1946,15
1947,13
1948,15
1949,14
1950,8
1951,12
1952,6
1953,7
1954,10
1955,5
1956,12
1957,5
1958,8
1959,0
1960,9
1961,5
1962,0
1963,0
1964,6
1965,0
1966,0
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
