year,Eldridge
1880,13
1881,9
1882,9
1883,6
1884,6
1885,8
1886,10
1887,10
1888,6
1889,8
1890,9
1891,6
1892,12
1893,9
1894,20
1895,14
1896,11
1897,11
1898,9
1899,7
1900,17
1901,12
1902,8
1903,12
1904,7
1905,14
1906,18
1907,11
1908,18
1909,22
1910,16
1911,22
1912,55
1913,54
1914,66
1915,84
1916,81
1917,94
1918,94
1919,89
1920,104
1921,102
1922,87
1923,85
1924,120
1925,95
1926,114
1927,110
1928,91
1929,95
1930,82
1931,59
1932,74
1933,74
1934,60
1935,72
1936,67
1937,65
1938,60
1939,61
1940,73
1941,66
1942,72
1943,41
1944,67
1945,69
1946,52
1947,75
1948,60
1949,64
1950,56
1951,52
1952,57
1953,55
1954,56
1955,63
1956,57
1957,54
1958,58
1959,51
1960,42
1961,43
1962,32
1963,47
1964,40
1965,52
1966,41
1967,35
1968,37
1969,50
1970,52
1971,50
1972,33
1973,37
1974,36
1975,37
1976,38
1977,46
1978,33
1979,33
1980,23
1981,14
1982,34
1983,32
1984,16
1985,18
1986,15
1987,14
1988,14
1989,20
1990,21
1991,20
1992,13
1993,18
1994,12
1995,15
1996,10
1997,12
1998,9
1999,17
2000,7
2001,13
2002,12
2003,8
2004,10
2005,8
2006,11
2007,11
2008,0
2009,11
2010,6
2011,8
2012,6
