year,Elbert (F),Elbert (M)
1880,0.000000,0.000392
1881,0.000000,0.000436
1882,0.000000,0.000447
1883,0.000000,0.000424
1884,0.000000,0.000370
1885,0.000000,0.000382
1886,0.000000,0.000368
1887,0.000000,0.000331
1888,0.000000,0.000327
1889,0.000000,0.000329
1890,0.000000,0.000295
1891,0.000000,0.000269
1892,0.000000,0.000278
1893,0.000000,0.000274
1894,0.000000,0.000286
1895,0.000000,0.000302
1896,0.000000,0.000269
1897,0.000000,0.000274
1898,0.000000,0.000228
1899,0.000000,0.000239
1900,0.000000,0.000278
1901,0.000000,0.000226
1902,0.000000,0.000279
1903,0.000000,0.000249
1904,0.000000,0.000248
1905,0.000000,0.000311
1906,0.000000,0.000198
1907,0.000000,0.000258
1908,0.000000,0.000248
1909,0.000000,0.000327
1910,0.000000,0.000310
1911,0.000000,0.000303
1912,0.000000,0.000346
1913,0.000000,0.000366
1914,0.000000,0.000318
1915,0.000000,0.000365
1916,0.000000,0.000342
1917,0.000000,0.000336
1918,0.000000,0.000305
1919,0.000003,0.000348
1920,0.000003,0.000347
1921,0.000003,0.000306
1922,0.000000,0.000329
1923,0.000000,0.000335
1924,0.000003,0.000305
1925,0.000004,0.000288
1926,0.000000,0.000312
1927,0.000000,0.000292
1928,0.000003,0.000290
1929,0.000000,0.000274
1930,0.000004,0.000274
1931,0.000000,0.000269
1932,0.000000,0.000252
1933,0.000003,0.000269
1934,0.000000,0.000254
1935,0.000000,0.000261
1936,0.000000,0.000237
1937,0.000000,0.000223
1938,0.000000,0.000214
1939,0.000000,0.000208
1940,0.000004,0.000204
1941,0.000000,0.000207
1942,0.000000,0.000172
1943,0.000000,0.000176
1944,0.000000,0.000154
1945,0.000000,0.000157
1946,0.000000,0.000131
1947,0.000002,0.000126
1948,0.000000,0.000112
1949,0.000000,0.000120
1950,0.000000,0.000098
1951,0.000000,0.000108
1952,0.000002,0.000095
1953,0.000002,0.000092
1954,0.000000,0.000087
1955,0.000000,0.000086
1956,0.000000,0.000076
1957,0.000001,0.000085
1958,0.000000,0.000084
1959,0.000000,0.000081
1960,0.000000,0.000064
1961,0.000000,0.000061
1962,0.000000,0.000056
1963,0.000000,0.000069
1964,0.000000,0.000062
1965,0.000000,0.000065
1966,0.000000,0.000058
1967,0.000000,0.000056
1968,0.000000,0.000055
1969,0.000000,0.000051
1970,0.000000,0.000045
1971,0.000000,0.000058
1972,0.000002,0.000046
1973,0.000000,0.000052
1974,0.000000,0.000043
1975,0.000000,0.000042
1976,0.000000,0.000034
1977,0.000000,0.000033
1978,0.000000,0.000036
1979,0.000000,0.000029
1980,0.000000,0.000025
1981,0.000000,0.000029
1982,0.000000,0.000026
1983,0.000000,0.000019
1984,0.000000,0.000021
1985,0.000000,0.000023
1986,0.000000,0.000017
1987,0.000000,0.000021
1988,0.000000,0.000021
1989,0.000000,0.000022
1990,0.000000,0.000019
1991,0.000000,0.000017
1992,0.000000,0.000018
1993,0.000000,0.000012
1994,0.000000,0.000012
1995,0.000000,0.000013
1996,0.000000,0.000012
1997,0.000000,0.000011
1998,0.000000,0.000008
1999,0.000000,0.000008
2000,0.000000,0.000010
2001,0.000000,0.000009
2002,0.000000,0.000006
2003,0.000000,0.000006
2004,0.000000,0.000007
2005,0.000000,0.000008
2006,0.000000,0.000005
2007,0.000000,0.000007
2008,0.000000,0.000006
2009,0.000000,0.000004
2010,0.000000,0.000006
2011,0.000000,0.000005
2012,0.000000,0.000004
2013,0.000000,0.000004
2014,0.000000,0.000004
2015,0.000000,0.000004
2016,0.000000,0.000006
2017,0.000000,0.000004
2018,0.000000,0.000004
2019,0.000000,0.000003
2020,0.000000,0.000002
