year,Ettie
1880,25
1881,18
1882,20
1883,26
1884,16
1885,31
1886,28
1887,30
1888,32
1889,35
1890,44
1891,46
1892,22
1893,36
1894,42
1895,31
1896,33
1897,39
1898,35
1899,33
1900,30
1901,24
1902,28
1903,28
1904,23
1905,21
1906,27
1907,18
1908,26
1909,15
1910,21
1911,19
1912,23
1913,29
1914,36
1915,40
1916,33
1917,43
1918,38
1919,24
1920,31
1921,32
1922,24
1923,22
1924,31
1925,27
1926,30
1927,28
1928,19
1929,11
1930,22
1931,14
1932,20
1933,11
1934,14
1935,14
1936,7
1937,20
1938,15
1939,16
1940,13
1941,9
1942,14
1943,18
1944,17
1945,9
1946,10
1947,9
1948,10
1949,14
1950,5
1951,8
1952,7
1953,5
1954,5
1955,0
1956,5
1957,0
1958,9
1959,5
1960,0
1961,6
1962,5
1963,5
1964,0
1965,0
1966,5
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
