year,Eligio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,0
1911,0
1912,6
1913,8
1914,0
1915,7
1916,0
1917,11
1918,9
1919,8
1920,13
1921,8
1922,9
1923,9
1924,14
1925,14
1926,16
1927,20
1928,13
1929,7
1930,7
1931,6
1932,17
1933,10
1934,10
1935,14
1936,6
1937,10
1938,13
1939,15
1940,12
1941,9
1942,11
1943,8
1944,9
1945,9
1946,10
1947,13
1948,15
1949,11
1950,13
1951,9
1952,12
1953,13
1954,10
1955,10
1956,12
1957,16
1958,11
1959,11
1960,12
1961,12
1962,17
1963,16
1964,13
1965,18
1966,16
1967,10
1968,14
1969,18
1970,17
1971,22
1972,18
1973,15
1974,17
1975,14
1976,16
1977,20
1978,23
1979,19
1980,13
1981,18
1982,16
1983,16
1984,16
1985,30
1986,13
1987,17
1988,18
1989,27
1990,19
1991,28
1992,19
1993,20
1994,25
1995,18
1996,17
1997,13
1998,20
1999,19
2000,12
2001,20
2002,18
2003,15
2004,22
2005,19
2006,16
2007,11
2008,24
2009,13
2010,14
2011,10
2012,7
