year,Evalee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,7
1908,0
1909,0
1910,6
1911,0
1912,10
1913,14
1914,9
1915,6
1916,12
1917,11
1918,18
1919,17
1920,18
1921,27
1922,12
1923,22
1924,30
1925,21
1926,14
1927,25
1928,17
1929,21
1930,19
1931,14
1932,12
1933,18
1934,8
1935,12
1936,7
1937,10
1938,12
1939,10
1940,10
1941,16
1942,5
1943,8
1944,12
1945,5
1946,7
1947,0
1948,14
1949,8
1950,6
1951,6
1952,0
1953,9
1954,0
1955,0
1956,0
1957,5
1958,0
1959,0
1960,0
1961,5
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,7
2004,6
2005,9
2006,13
2007,11
2008,12
2009,21
2010,22
2011,30
2012,30
