year,Ellis (F),Ellis (M)
1880,0.000000,0.000288
1881,0.000000,0.000301
1882,0.000000,0.000388
1883,0.000032,0.000336
1884,0.000000,0.000300
1885,0.000000,0.000324
1886,0.000000,0.000333
1887,0.000000,0.000267
1888,0.000020,0.000237
1889,0.000024,0.000277
1890,0.000000,0.000236
1891,0.000000,0.000230
1892,0.000015,0.000266
1893,0.000018,0.000243
1894,0.000021,0.000245
1895,0.000000,0.000285
1896,0.000022,0.000297
1897,0.000000,0.000282
1898,0.000000,0.000252
1899,0.000024,0.000289
1900,0.000000,0.000266
1901,0.000017,0.000214
1902,0.000026,0.000290
1903,0.000016,0.000289
1904,0.000000,0.000263
1905,0.000000,0.000243
1906,0.000014,0.000236
1907,0.000015,0.000258
1908,0.000018,0.000252
1909,0.000000,0.000256
1910,0.000000,0.000249
1911,0.000011,0.000259
1912,0.000008,0.000285
1913,0.000012,0.000344
1914,0.000009,0.000301
1915,0.000011,0.000337
1916,0.000007,0.000295
1917,0.000008,0.000286
1918,0.000011,0.000287
1919,0.000007,0.000300
1920,0.000006,0.000285
1921,0.000009,0.000292
1922,0.000010,0.000273
1923,0.000009,0.000285
1924,0.000005,0.000264
1925,0.000008,0.000262
1926,0.000005,0.000264
1927,0.000008,0.000251
1928,0.000010,0.000240
1929,0.000007,0.000249
1930,0.000005,0.000234
1931,0.000009,0.000217
1932,0.000006,0.000206
1933,0.000005,0.000213
1934,0.000005,0.000207
1935,0.000004,0.000210
1936,0.000006,0.000206
1937,0.000006,0.000212
1938,0.000006,0.000216
1939,0.000008,0.000189
1940,0.000004,0.000188
1941,0.000005,0.000182
1942,0.000007,0.000179
1943,0.000006,0.000176
1944,0.000005,0.000167
1945,0.000005,0.000157
1946,0.000003,0.000157
1947,0.000002,0.000142
1948,0.000005,0.000130
1949,0.000002,0.000124
1950,0.000006,0.000131
1951,0.000004,0.000109
1952,0.000002,0.000111
1953,0.000002,0.000117
1954,0.000002,0.000096
1955,0.000001,0.000092
1956,0.000002,0.000102
1957,0.000003,0.000093
1958,0.000003,0.000086
1959,0.000002,0.000076
1960,0.000003,0.000086
1961,0.000002,0.000079
1962,0.000001,0.000068
1963,0.000000,0.000068
1964,0.000001,0.000073
1965,0.000002,0.000063
1966,0.000002,0.000066
1967,0.000001,0.000063
1968,0.000002,0.000060
1969,0.000001,0.000059
1970,0.000001,0.000052
1971,0.000002,0.000059
1972,0.000002,0.000049
1973,0.000000,0.000060
1974,0.000000,0.000057
1975,0.000000,0.000045
1976,0.000000,0.000058
1977,0.000002,0.000048
1978,0.000003,0.000043
1979,0.000002,0.000050
1980,0.000000,0.000050
1981,0.000003,0.000045
1982,0.000001,0.000035
1983,0.000000,0.000040
1984,0.000000,0.000038
1985,0.000002,0.000041
1986,0.000004,0.000045
1987,0.000003,0.000045
1988,0.000004,0.000040
1989,0.000003,0.000045
1990,0.000003,0.000046
1991,0.000003,0.000049
1992,0.000006,0.000048
1993,0.000009,0.000044
1994,0.000006,0.000043
1995,0.000010,0.000045
1996,0.000008,0.000051
1997,0.000010,0.000054
1998,0.000013,0.000050
1999,0.000009,0.000049
2000,0.000009,0.000055
2001,0.000013,0.000045
2002,0.000010,0.000047
2003,0.000014,0.000055
2004,0.000013,0.000056
2005,0.000022,0.000064
2006,0.000025,0.000068
2007,0.000028,0.000066
2008,0.000028,0.000070
2009,0.000033,0.000086
2010,0.000041,0.000085
2011,0.000050,0.000086
2012,0.000059,0.000110
2013,0.000062,0.000137
