year,Eunice (F),Eunice (M)
1880,0.000333,0.000000
1881,0.000400,0.000000
1882,0.000339,0.000000
1883,0.000489,0.000000
1884,0.000460,0.000000
1885,0.000565,0.000000
1886,0.000556,0.000000
1887,0.000550,0.000000
1888,0.000601,0.000000
1889,0.000640,0.000000
1890,0.000710,0.000000
1891,0.000827,0.000000
1892,0.000879,0.000015
1893,0.000953,0.000015
1894,0.000871,0.000000
1895,0.000951,0.000017
1896,0.000982,0.000000
1897,0.001115,0.000014
1898,0.001146,0.000016
1899,0.001135,0.000018
1900,0.001117,0.000029
1901,0.001226,0.000000
1902,0.001267,0.000018
1903,0.001230,0.000018
1904,0.001244,0.000015
1905,0.001238,0.000014
1906,0.001293,0.000023
1907,0.001306,0.000017
1908,0.001383,0.000023
1909,0.001223,0.000020
1910,0.001256,0.000012
1911,0.001288,0.000011
1912,0.001079,0.000016
1913,0.001068,0.000014
1914,0.001044,0.000015
1915,0.001015,0.000016
1916,0.001015,0.000024
1917,0.001015,0.000013
1918,0.001024,0.000012
1919,0.000977,0.000018
1920,0.000989,0.000018
1921,0.000959,0.000013
1922,0.000953,0.000013
1923,0.000918,0.000012
1924,0.000901,0.000015
1925,0.000899,0.000016
1926,0.000846,0.000013
1927,0.000840,0.000011
1928,0.000762,0.000014
1929,0.000705,0.000011
1930,0.000647,0.000014
1931,0.000638,0.000010
1932,0.000652,0.000014
1933,0.000595,0.000014
1934,0.000593,0.000011
1935,0.000540,0.000009
1936,0.000511,0.000010
1937,0.000489,0.000008
1938,0.000425,0.000009
1939,0.000385,0.000006
1940,0.000377,0.000009
1941,0.000317,0.000008
1942,0.000293,0.000006
1943,0.000278,0.000007
1944,0.000266,0.000004
1945,0.000236,0.000006
1946,0.000198,0.000005
1947,0.000196,0.000003
1948,0.000175,0.000002
1949,0.000159,0.000001
1950,0.000155,0.000003
1951,0.000143,0.000002
1952,0.000133,0.000002
1953,0.000118,0.000002
1954,0.000106,0.000002
1955,0.000107,0.000001
1956,0.000099,0.000003
1957,0.000104,0.000002
1958,0.000093,0.000002
1959,0.000092,0.000002
1960,0.000079,0.000002
1961,0.000080,0.000000
1962,0.000075,0.000001
1963,0.000077,0.000000
1964,0.000078,0.000002
1965,0.000068,0.000000
1966,0.000066,0.000000
1967,0.000059,0.000000
1968,0.000059,0.000000
1969,0.000057,0.000000
1970,0.000053,0.000000
1971,0.000054,0.000002
1972,0.000055,0.000000
1973,0.000059,0.000000
1974,0.000052,0.000000
1975,0.000056,0.000002
1976,0.000056,0.000002
1977,0.000046,0.000000
1978,0.000048,0.000002
1979,0.000043,0.000000
1980,0.000051,0.000001
1981,0.000042,0.000001
1982,0.000047,0.000000
1983,0.000042,0.000000
1984,0.000040,0.000000
1985,0.000044,0.000000
1986,0.000049,0.000000
1987,0.000050,0.000000
1988,0.000058,0.000000
1989,0.000047,0.000000
1990,0.000052,0.000000
1991,0.000050,0.000003
1992,0.000057,0.000000
1993,0.000054,0.000000
1994,0.000054,0.000000
1995,0.000058,0.000000
1996,0.000049,0.000000
1997,0.000049,0.000000
1998,0.000053,0.000000
1999,0.000055,0.000000
2000,0.000050,0.000000
2001,0.000049,0.000000
2002,0.000049,0.000000
2003,0.000046,0.000000
2004,0.000056,0.000000
2005,0.000036,0.000000
2006,0.000045,0.000000
2007,0.000042,0.000000
2008,0.000040,0.000000
2009,0.000035,0.000000
2010,0.000046,0.000000
2011,0.000039,0.000000
2012,0.000037,0.000000
