year,Eura
1880,0
1881,0
1882,6
1883,0
1884,0
1885,6
1886,5
1887,5
1888,10
1889,13
1890,10
1891,15
1892,17
1893,10
1894,17
1895,17
1896,14
1897,19
1898,23
1899,12
1900,33
1901,17
1902,18
1903,23
1904,23
1905,22
1906,20
1907,25
1908,19
1909,18
1910,21
1911,25
1912,36
1913,37
1914,27
1915,45
1916,42
1917,43
1918,35
1919,31
1920,52
1921,33
1922,41
1923,39
1924,41
1925,30
1926,24
1927,35
1928,22
1929,31
1930,26
1931,24
1932,24
1933,21
1934,22
1935,24
1936,13
1937,18
1938,18
1939,17
1940,18
1941,20
1942,14
1943,16
1944,11
1945,16
1946,14
1947,10
1948,11
1949,0
1950,11
1951,13
1952,6
1953,10
1954,6
1955,5
1956,11
1957,9
1958,6
1959,5
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,6
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
