year,Eugena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,0
1916,10
1917,8
1918,8
1919,6
1920,9
1921,7
1922,9
1923,10
1924,6
1925,8
1926,9
1927,6
1928,8
1929,0
1930,5
1931,0
1932,5
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,5
1943,5
1944,7
1945,6
1946,6
1947,19
1948,11
1949,15
1950,12
1951,13
1952,14
1953,16
1954,11
1955,21
1956,15
1957,23
1958,19
1959,21
1960,10
1961,15
1962,24
1963,19
1964,31
1965,33
1966,26
1967,27
1968,23
1969,29
1970,31
1971,28
1972,24
1973,28
1974,20
1975,32
1976,29
1977,30
1978,21
1979,26
1980,21
1981,20
1982,20
1983,17
1984,16
1985,15
1986,10
1987,15
1988,9
1989,18
1990,11
1991,9
1992,13
1993,15
1994,6
1995,9
1996,0
1997,12
1998,5
1999,8
2000,6
2001,0
2002,7
2003,0
2004,5
2005,0
2006,6
2007,7
2008,0
2009,0
2010,0
2011,0
2012,0
