year,Esteban (F),Esteban (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000017
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000012
1906,0.000000,0.000012
1907,0.000000,0.000000
1908,0.000000,0.000010
1909,0.000000,0.000012
1910,0.000000,0.000008
1911,0.000000,0.000012
1912,0.000000,0.000009
1913,0.000000,0.000010
1914,0.000000,0.000011
1915,0.000000,0.000008
1916,0.000000,0.000012
1917,0.000000,0.000005
1918,0.000000,0.000010
1919,0.000000,0.000009
1920,0.000000,0.000012
1921,0.000000,0.000011
1922,0.000000,0.000011
1923,0.000000,0.000012
1924,0.000000,0.000020
1925,0.000000,0.000022
1926,0.000000,0.000020
1927,0.000000,0.000024
1928,0.000000,0.000015
1929,0.000000,0.000025
1930,0.000000,0.000018
1931,0.000000,0.000021
1932,0.000000,0.000015
1933,0.000000,0.000015
1934,0.000000,0.000022
1935,0.000000,0.000018
1936,0.000000,0.000017
1937,0.000000,0.000010
1938,0.000000,0.000012
1939,0.000000,0.000015
1940,0.000000,0.000011
1941,0.000000,0.000011
1942,0.000000,0.000013
1943,0.000000,0.000017
1944,0.000000,0.000018
1945,0.000000,0.000014
1946,0.000000,0.000015
1947,0.000000,0.000014
1948,0.000000,0.000018
1949,0.000000,0.000017
1950,0.000000,0.000018
1951,0.000000,0.000013
1952,0.000000,0.000011
1953,0.000000,0.000018
1954,0.000000,0.000012
1955,0.000000,0.000014
1956,0.000000,0.000017
1957,0.000000,0.000016
1958,0.000000,0.000018
1959,0.000000,0.000017
1960,0.000000,0.000019
1961,0.000000,0.000019
1962,0.000000,0.000022
1963,0.000000,0.000021
1964,0.000000,0.000026
1965,0.000000,0.000028
1966,0.000000,0.000037
1967,0.000000,0.000031
1968,0.000000,0.000037
1969,0.000000,0.000042
1970,0.000000,0.000044
1971,0.000000,0.000048
1972,0.000000,0.000061
1973,0.000000,0.000057
1974,0.000000,0.000071
1975,0.000000,0.000086
1976,0.000000,0.000084
1977,0.000000,0.000095
1978,0.000000,0.000086
1979,0.000000,0.000091
1980,0.000000,0.000099
1981,0.000000,0.000103
1982,0.000000,0.000090
1983,0.000000,0.000099
1984,0.000000,0.000089
1985,0.000000,0.000102
1986,0.000000,0.000095
1987,0.000000,0.000095
1988,0.000000,0.000108
1989,0.000000,0.000125
1990,0.000000,0.000141
1991,0.000002,0.000139
1992,0.000002,0.000153
1993,0.000001,0.000158
1994,0.000000,0.000167
1995,0.000002,0.000189
1996,0.000000,0.000202
1997,0.000000,0.000193
1998,0.000002,0.000195
1999,0.000000,0.000192
2000,0.000000,0.000218
2001,0.000000,0.000221
2002,0.000000,0.000219
2003,0.000000,0.000222
2004,0.000000,0.000212
2005,0.000000,0.000266
2006,0.000000,0.000246
2007,0.000000,0.000224
2008,0.000000,0.000217
2009,0.000000,0.000209
2010,0.000000,0.000206
2011,0.000000,0.000209
2012,0.000000,0.000208
