year,Evans
1880,10
1881,7
1882,12
1883,0
1884,0
1885,5
1886,14
1887,6
1888,14
1889,16
1890,14
1891,7
1892,15
1893,11
1894,9
1895,13
1896,20
1897,8
1898,18
1899,11
1900,12
1901,10
1902,15
1903,15
1904,12
1905,13
1906,14
1907,8
1908,13
1909,15
1910,24
1911,21
1912,34
1913,33
1914,54
1915,71
1916,81
1917,75
1918,73
1919,67
1920,78
1921,83
1922,68
1923,77
1924,61
1925,45
1926,70
1927,60
1928,58
1929,54
1930,64
1931,52
1932,47
1933,45
1934,38
1935,46
1936,49
1937,43
1938,38
1939,34
1940,40
1941,38
1942,42
1943,45
1944,52
1945,36
1946,57
1947,56
1948,50
1949,60
1950,57
1951,42
1952,33
1953,60
1954,46
1955,38
1956,61
1957,43
1958,36
1959,30
1960,43
1961,41
1962,36
1963,28
1964,39
1965,35
1966,35
1967,32
1968,34
1969,35
1970,37
1971,38
1972,38
1973,17
1974,25
1975,17
1976,33
1977,28
1978,33
1979,28
1980,28
1981,37
1982,42
1983,36
1984,28
1985,41
1986,42
1987,36
1988,39
1989,37
1990,42
1991,39
1992,31
1993,30
1994,31
1995,32
1996,23
1997,27
1998,31
1999,38
2000,32
2001,35
2002,22
2003,33
2004,37
2005,28
2006,35
2007,40
2008,38
2009,29
2010,43
2011,36
2012,37
