year,Estella (F),Estella (M)
1880,0.000804,0.000000
1881,0.000846,0.000000
1882,0.000894,0.000000
1883,0.001074,0.000000
1884,0.000912,0.000000
1885,0.001021,0.000000
1886,0.000963,0.000000
1887,0.001051,0.000000
1888,0.001012,0.000000
1889,0.000997,0.000017
1890,0.001062,0.000000
1891,0.000931,0.000000
1892,0.000993,0.000000
1893,0.001012,0.000000
1894,0.000989,0.000000
1895,0.000866,0.000000
1896,0.001015,0.000000
1897,0.000914,0.000000
1898,0.000836,0.000000
1899,0.000849,0.000000
1900,0.000811,0.000000
1901,0.000813,0.000000
1902,0.000732,0.000000
1903,0.000800,0.000000
1904,0.000853,0.000000
1905,0.000649,0.000000
1906,0.000632,0.000000
1907,0.000664,0.000000
1908,0.000649,0.000000
1909,0.000622,0.000000
1910,0.000638,0.000010
1911,0.000565,0.000000
1912,0.000399,0.000000
1913,0.000409,0.000000
1914,0.000363,0.000000
1915,0.000327,0.000000
1916,0.000307,0.000003
1917,0.000307,0.000000
1918,0.000275,0.000000
1919,0.000271,0.000000
1920,0.000272,0.000000
1921,0.000273,0.000000
1922,0.000270,0.000000
1923,0.000245,0.000000
1924,0.000245,0.000000
1925,0.000260,0.000000
1926,0.000251,0.000000
1927,0.000235,0.000000
1928,0.000237,0.000000
1929,0.000235,0.000000
1930,0.000207,0.000000
1931,0.000213,0.000000
1932,0.000211,0.000000
1933,0.000204,0.000000
1934,0.000179,0.000003
1935,0.000175,0.000003
1936,0.000171,0.000002
1937,0.000163,0.000000
1938,0.000151,0.000000
1939,0.000168,0.000000
1940,0.000155,0.000003
1941,0.000137,0.000000
1942,0.000131,0.000000
1943,0.000130,0.000000
1944,0.000125,0.000000
1945,0.000133,0.000000
1946,0.000116,0.000000
1947,0.000120,0.000001
1948,0.000116,0.000000
1949,0.000122,0.000000
1950,0.000113,0.000001
1951,0.000093,0.000000
1952,0.000102,0.000000
1953,0.000098,0.000000
1954,0.000091,0.000000
1955,0.000077,0.000000
1956,0.000086,0.000000
1957,0.000068,0.000000
1958,0.000070,0.000000
1959,0.000066,0.000000
1960,0.000068,0.000000
1961,0.000067,0.000000
1962,0.000055,0.000000
1963,0.000057,0.000000
1964,0.000055,0.000000
1965,0.000052,0.000000
1966,0.000054,0.000001
1967,0.000052,0.000000
1968,0.000050,0.000000
1969,0.000039,0.000000
1970,0.000041,0.000000
1971,0.000038,0.000000
1972,0.000032,0.000000
1973,0.000047,0.000000
1974,0.000041,0.000000
1975,0.000037,0.000000
1976,0.000034,0.000000
1977,0.000038,0.000000
1978,0.000032,0.000000
1979,0.000035,0.000000
1980,0.000029,0.000000
1981,0.000031,0.000000
1982,0.000026,0.000000
1983,0.000024,0.000000
1984,0.000021,0.000000
1985,0.000021,0.000000
1986,0.000019,0.000000
1987,0.000020,0.000000
1988,0.000019,0.000000
1989,0.000016,0.000000
1990,0.000014,0.000000
1991,0.000018,0.000000
1992,0.000019,0.000000
1993,0.000017,0.000000
1994,0.000015,0.000000
1995,0.000014,0.000000
1996,0.000018,0.000000
1997,0.000013,0.000000
1998,0.000018,0.000000
1999,0.000017,0.000000
2000,0.000018,0.000000
2001,0.000018,0.000000
2002,0.000026,0.000000
2003,0.000030,0.000000
2004,0.000053,0.000000
2005,0.000051,0.000000
2006,0.000045,0.000000
2007,0.000050,0.000000
2008,0.000053,0.000000
2009,0.000059,0.000000
2010,0.000068,0.000000
2011,0.000064,0.000000
2012,0.000082,0.000000
2013,0.000079,0.000000
