year,Erwin (F),Erwin (M)
1880,0.000000,0.000079
1881,0.000000,0.000088
1882,0.000000,0.000054
1883,0.000000,0.000120
1884,0.000000,0.000070
1885,0.000000,0.000108
1886,0.000000,0.000086
1887,0.000000,0.000097
1888,0.000000,0.000093
1889,0.000000,0.000100
1890,0.000000,0.000116
1891,0.000000,0.000115
1892,0.000000,0.000096
1893,0.000000,0.000101
1894,0.000000,0.000103
1895,0.000000,0.000131
1896,0.000000,0.000140
1897,0.000000,0.000133
1898,0.000000,0.000126
1899,0.000000,0.000136
1900,0.000000,0.000095
1901,0.000000,0.000182
1902,0.000000,0.000127
1903,0.000000,0.000150
1904,0.000000,0.000129
1905,0.000000,0.000137
1906,0.000000,0.000152
1907,0.000000,0.000101
1908,0.000000,0.000121
1909,0.000000,0.000149
1910,0.000000,0.000122
1911,0.000000,0.000143
1912,0.000000,0.000213
1913,0.000000,0.000242
1914,0.000000,0.000254
1915,0.000000,0.000231
1916,0.000003,0.000250
1917,0.000004,0.000239
1918,0.000000,0.000236
1919,0.000000,0.000210
1920,0.000000,0.000204
1921,0.000000,0.000212
1922,0.000002,0.000221
1923,0.000000,0.000193
1924,0.000000,0.000210
1925,0.000000,0.000184
1926,0.000000,0.000201
1927,0.000002,0.000176
1928,0.000003,0.000174
1929,0.000003,0.000172
1930,0.000000,0.000166
1931,0.000000,0.000159
1932,0.000000,0.000146
1933,0.000000,0.000131
1934,0.000000,0.000137
1935,0.000000,0.000119
1936,0.000000,0.000119
1937,0.000000,0.000092
1938,0.000000,0.000096
1939,0.000000,0.000071
1940,0.000000,0.000080
1941,0.000000,0.000056
1942,0.000000,0.000072
1943,0.000000,0.000075
1944,0.000000,0.000059
1945,0.000000,0.000057
1946,0.000000,0.000053
1947,0.000000,0.000038
1948,0.000000,0.000054
1949,0.000000,0.000042
1950,0.000000,0.000041
1951,0.000000,0.000043
1952,0.000002,0.000041
1953,0.000000,0.000041
1954,0.000000,0.000044
1955,0.000000,0.000044
1956,0.000000,0.000047
1957,0.000000,0.000052
1958,0.000000,0.000046
1959,0.000000,0.000045
1960,0.000000,0.000045
1961,0.000000,0.000040
1962,0.000000,0.000039
1963,0.000000,0.000039
1964,0.000000,0.000044
1965,0.000000,0.000038
1966,0.000000,0.000037
1967,0.000000,0.000040
1968,0.000000,0.000027
1969,0.000000,0.000035
1970,0.000000,0.000030
1971,0.000000,0.000032
1972,0.000000,0.000034
1973,0.000000,0.000030
1974,0.000000,0.000026
1975,0.000000,0.000026
1976,0.000000,0.000025
1977,0.000000,0.000029
1978,0.000000,0.000027
1979,0.000000,0.000025
1980,0.000000,0.000032
1981,0.000002,0.000033
1982,0.000000,0.000025
1983,0.000000,0.000025
1984,0.000000,0.000026
1985,0.000000,0.000027
1986,0.000000,0.000028
1987,0.000000,0.000029
1988,0.000000,0.000023
1989,0.000000,0.000029
1990,0.000000,0.000022
1991,0.000000,0.000032
1992,0.000000,0.000032
1993,0.000000,0.000029
1994,0.000000,0.000026
1995,0.000000,0.000021
1996,0.000000,0.000022
1997,0.000000,0.000018
1998,0.000000,0.000015
1999,0.000000,0.000020
2000,0.000000,0.000024
2001,0.000000,0.000021
2002,0.000000,0.000026
2003,0.000000,0.000025
2004,0.000000,0.000026
2005,0.000000,0.000028
2006,0.000000,0.000024
2007,0.000000,0.000027
2008,0.000000,0.000020
2009,0.000000,0.000025
2010,0.000000,0.000025
2011,0.000000,0.000022
2012,0.000000,0.000019
