year,Emanuel (F),Emanuel (M)
1880,0.000000,0.000283
1881,0.000000,0.000249
1882,0.000000,0.000203
1883,0.000000,0.000157
1884,0.000000,0.000181
1885,0.000000,0.000133
1886,0.000000,0.000180
1887,0.000000,0.000170
1888,0.000000,0.000100
1889,0.000000,0.000142
1890,0.000000,0.000106
1891,0.000000,0.000101
1892,0.000000,0.000182
1893,0.000000,0.000120
1894,0.000000,0.000145
1895,0.000000,0.000182
1896,0.000000,0.000145
1897,0.000000,0.000107
1898,0.000000,0.000126
1899,0.000000,0.000124
1900,0.000000,0.000100
1901,0.000000,0.000107
1902,0.000000,0.000127
1903,0.000000,0.000134
1904,0.000000,0.000154
1905,0.000000,0.000163
1906,0.000000,0.000145
1907,0.000000,0.000120
1908,0.000000,0.000131
1909,0.000000,0.000135
1910,0.000000,0.000168
1911,0.000000,0.000192
1912,0.000000,0.000210
1913,0.000000,0.000197
1914,0.000000,0.000178
1915,0.000000,0.000188
1916,0.000000,0.000158
1917,0.000000,0.000180
1918,0.000000,0.000177
1919,0.000000,0.000153
1920,0.000000,0.000168
1921,0.000000,0.000151
1922,0.000000,0.000150
1923,0.000000,0.000143
1924,0.000000,0.000145
1925,0.000000,0.000134
1926,0.000000,0.000132
1927,0.000000,0.000133
1928,0.000000,0.000125
1929,0.000000,0.000115
1930,0.000000,0.000115
1931,0.000000,0.000094
1932,0.000000,0.000105
1933,0.000000,0.000092
1934,0.000000,0.000084
1935,0.000000,0.000101
1936,0.000000,0.000098
1937,0.000000,0.000092
1938,0.000000,0.000080
1939,0.000000,0.000087
1940,0.000000,0.000081
1941,0.000000,0.000072
1942,0.000000,0.000068
1943,0.000000,0.000068
1944,0.000000,0.000064
1945,0.000000,0.000071
1946,0.000000,0.000056
1947,0.000000,0.000054
1948,0.000000,0.000065
1949,0.000000,0.000067
1950,0.000000,0.000063
1951,0.000000,0.000067
1952,0.000000,0.000056
1953,0.000000,0.000055
1954,0.000000,0.000055
1955,0.000000,0.000062
1956,0.000000,0.000061
1957,0.000000,0.000063
1958,0.000000,0.000061
1959,0.000000,0.000062
1960,0.000000,0.000050
1961,0.000000,0.000053
1962,0.000000,0.000058
1963,0.000000,0.000059
1964,0.000000,0.000054
1965,0.000001,0.000057
1966,0.000000,0.000062
1967,0.000000,0.000060
1968,0.000000,0.000065
1969,0.000000,0.000058
1970,0.000000,0.000065
1971,0.000002,0.000065
1972,0.000002,0.000069
1973,0.000000,0.000067
1974,0.000000,0.000068
1975,0.000000,0.000081
1976,0.000000,0.000077
1977,0.000000,0.000080
1978,0.000000,0.000086
1979,0.000000,0.000087
1980,0.000000,0.000099
1981,0.000002,0.000125
1982,0.000000,0.000104
1983,0.000000,0.000119
1984,0.000000,0.000159
1985,0.000002,0.000149
1986,0.000000,0.000149
1987,0.000002,0.000154
1988,0.000000,0.000150
1989,0.000002,0.000154
1990,0.000001,0.000159
1991,0.000000,0.000152
1992,0.000000,0.000170
1993,0.000002,0.000170
1994,0.000000,0.000167
1995,0.000000,0.000171
1996,0.000000,0.000190
1997,0.000002,0.000180
1998,0.000002,0.000195
1999,0.000000,0.000223
2000,0.000000,0.000226
2001,0.000000,0.000232
2002,0.000000,0.000271
2003,0.000000,0.000275
2004,0.000000,0.000300
2005,0.000000,0.000319
2006,0.000000,0.000332
2007,0.000000,0.000346
2008,0.000000,0.000343
2009,0.000002,0.000338
2010,0.000000,0.000323
2011,0.000000,0.000361
2012,0.000000,0.000300
