year,Elva (F),Elva (M)
1880,0.000218,0.000000
1881,0.000265,0.000000
1882,0.000339,0.000023
1883,0.000332,0.000023
1884,0.000333,0.000025
1885,0.000448,0.000000
1886,0.000431,0.000023
1887,0.000400,0.000000
1888,0.000427,0.000000
1889,0.000467,0.000000
1890,0.000531,0.000020
1891,0.000551,0.000017
1892,0.000541,0.000015
1893,0.000480,0.000000
1894,0.000520,0.000000
1895,0.000621,0.000014
1896,0.000554,0.000017
1897,0.000571,0.000000
1898,0.000684,0.000013
1899,0.000572,0.000000
1900,0.000668,0.000011
1901,0.000818,0.000023
1902,0.000654,0.000000
1903,0.000669,0.000013
1904,0.000580,0.000000
1905,0.000616,0.000014
1906,0.000548,0.000000
1907,0.000638,0.000019
1908,0.000571,0.000016
1909,0.000546,0.000012
1910,0.000579,0.000008
1911,0.000549,0.000000
1912,0.000435,0.000006
1913,0.000436,0.000012
1914,0.000398,0.000014
1915,0.000411,0.000009
1916,0.000405,0.000011
1917,0.000379,0.000006
1918,0.000363,0.000013
1919,0.000371,0.000007
1920,0.000339,0.000012
1921,0.000308,0.000007
1922,0.000300,0.000009
1923,0.000284,0.000013
1924,0.000265,0.000009
1925,0.000271,0.000008
1926,0.000249,0.000010
1927,0.000238,0.000011
1928,0.000248,0.000008
1929,0.000246,0.000008
1930,0.000230,0.000009
1931,0.000197,0.000009
1932,0.000195,0.000008
1933,0.000210,0.000007
1934,0.000173,0.000010
1935,0.000177,0.000007
1936,0.000160,0.000008
1937,0.000149,0.000005
1938,0.000146,0.000005
1939,0.000151,0.000008
1940,0.000131,0.000006
1941,0.000117,0.000006
1942,0.000098,0.000006
1943,0.000106,0.000005
1944,0.000096,0.000004
1945,0.000090,0.000003
1946,0.000079,0.000004
1947,0.000081,0.000002
1948,0.000074,0.000003
1949,0.000072,0.000001
1950,0.000064,0.000003
1951,0.000074,0.000002
1952,0.000058,0.000002
1953,0.000059,0.000000
1954,0.000067,0.000002
1955,0.000062,0.000001
1956,0.000052,0.000002
1957,0.000050,0.000002
1958,0.000049,0.000001
1959,0.000047,0.000001
1960,0.000045,0.000000
1961,0.000043,0.000001
1962,0.000043,0.000000
1963,0.000038,0.000000
1964,0.000039,0.000002
1965,0.000042,0.000000
1966,0.000038,0.000000
1967,0.000040,0.000000
1968,0.000038,0.000000
1969,0.000035,0.000000
1970,0.000030,0.000001
1971,0.000032,0.000000
1972,0.000033,0.000000
1973,0.000040,0.000000
1974,0.000029,0.000000
1975,0.000036,0.000000
1976,0.000031,0.000000
1977,0.000027,0.000000
1978,0.000027,0.000000
1979,0.000026,0.000000
1980,0.000021,0.000000
1981,0.000027,0.000001
1982,0.000026,0.000000
1983,0.000021,0.000000
1984,0.000019,0.000000
1985,0.000018,0.000000
1986,0.000021,0.000000
1987,0.000019,0.000000
1988,0.000021,0.000000
1989,0.000018,0.000000
1990,0.000021,0.000000
1991,0.000016,0.000000
1992,0.000018,0.000000
1993,0.000023,0.000000
1994,0.000019,0.000000
1995,0.000014,0.000000
1996,0.000018,0.000000
1997,0.000014,0.000000
1998,0.000016,0.000000
1999,0.000014,0.000000
2000,0.000016,0.000000
2001,0.000013,0.000000
2002,0.000014,0.000000
2003,0.000011,0.000000
2004,0.000012,0.000000
2005,0.000010,0.000000
2006,0.000014,0.000000
2007,0.000011,0.000000
2008,0.000010,0.000000
2009,0.000010,0.000000
2010,0.000015,0.000000
2011,0.000009,0.000000
2012,0.000012,0.000000
