year,Errol
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,6
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,9
1913,10
1914,8
1915,10
1916,13
1917,14
1918,26
1919,19
1920,20
1921,20
1922,24
1923,19
1924,17
1925,23
1926,15
1927,22
1928,19
1929,17
1930,16
1931,13
1932,11
1933,14
1934,18
1935,17
1936,46
1937,136
1938,178
1939,242
1940,246
1941,272
1942,224
1943,201
1944,147
1945,120
1946,156
1947,151
1948,148
1949,133
1950,135
1951,123
1952,123
1953,106
1954,88
1955,101
1956,105
1957,130
1958,132
1959,151
1960,148
1961,130
1962,117
1963,130
1964,141
1965,125
1966,107
1967,129
1968,126
1969,141
1970,140
1971,118
1972,109
1973,77
1974,103
1975,94
1976,110
1977,110
1978,116
1979,86
1980,114
1981,92
1982,105
1983,88
1984,85
1985,110
1986,75
1987,86
1988,70
1989,75
1990,85
1991,81
1992,82
1993,63
1994,71
1995,73
1996,55
1997,54
1998,55
1999,29
2000,49
2001,33
2002,36
2003,38
2004,37
2005,39
2006,32
2007,32
2008,32
2009,30
2010,33
2011,19
2012,31
