year,Enoch (F),Enoch (M)
1880,0.000000,0.000298
1881,0.000000,0.000228
1882,0.000000,0.000212
1883,0.000000,0.000203
1884,0.000000,0.000123
1885,0.000000,0.000179
1886,0.000000,0.000196
1887,0.000000,0.000093
1888,0.000000,0.000100
1889,0.000000,0.000114
1890,0.000000,0.000156
1891,0.000000,0.000150
1892,0.000000,0.000081
1893,0.000000,0.000092
1894,0.000000,0.000103
1895,0.000000,0.000111
1896,0.000000,0.000081
1897,0.000000,0.000069
1898,0.000000,0.000079
1899,0.000000,0.000121
1900,0.000000,0.000080
1901,0.000000,0.000058
1902,0.000000,0.000057
1903,0.000000,0.000068
1904,0.000000,0.000055
1905,0.000000,0.000057
1906,0.000000,0.000065
1907,0.000000,0.000045
1908,0.000000,0.000051
1909,0.000000,0.000047
1910,0.000000,0.000061
1911,0.000000,0.000068
1912,0.000000,0.000060
1913,0.000000,0.000059
1914,0.000000,0.000054
1915,0.000000,0.000049
1916,0.000000,0.000052
1917,0.000000,0.000063
1918,0.000000,0.000056
1919,0.000000,0.000053
1920,0.000000,0.000049
1921,0.000000,0.000048
1922,0.000000,0.000041
1923,0.000000,0.000046
1924,0.000000,0.000045
1925,0.000000,0.000035
1926,0.000000,0.000039
1927,0.000000,0.000039
1928,0.000000,0.000037
1929,0.000000,0.000034
1930,0.000000,0.000042
1931,0.000000,0.000032
1932,0.000000,0.000033
1933,0.000000,0.000035
1934,0.000000,0.000035
1935,0.000000,0.000031
1936,0.000000,0.000035
1937,0.000000,0.000027
1938,0.000000,0.000024
1939,0.000000,0.000022
1940,0.000000,0.000027
1941,0.000000,0.000025
1942,0.000000,0.000022
1943,0.000000,0.000023
1944,0.000000,0.000029
1945,0.000000,0.000023
1946,0.000000,0.000023
1947,0.000000,0.000016
1948,0.000000,0.000019
1949,0.000000,0.000015
1950,0.000000,0.000019
1951,0.000000,0.000017
1952,0.000000,0.000016
1953,0.000000,0.000013
1954,0.000000,0.000015
1955,0.000000,0.000014
1956,0.000000,0.000016
1957,0.000000,0.000014
1958,0.000000,0.000013
1959,0.000000,0.000013
1960,0.000000,0.000011
1961,0.000000,0.000015
1962,0.000000,0.000015
1963,0.000000,0.000009
1964,0.000000,0.000010
1965,0.000000,0.000010
1966,0.000000,0.000012
1967,0.000000,0.000011
1968,0.000000,0.000011
1969,0.000000,0.000017
1970,0.000000,0.000015
1971,0.000000,0.000013
1972,0.000000,0.000013
1973,0.000000,0.000023
1974,0.000000,0.000025
1975,0.000000,0.000018
1976,0.000000,0.000024
1977,0.000000,0.000020
1978,0.000000,0.000023
1979,0.000000,0.000017
1980,0.000000,0.000017
1981,0.000000,0.000017
1982,0.000000,0.000020
1983,0.000000,0.000014
1984,0.000000,0.000015
1985,0.000000,0.000017
1986,0.000000,0.000014
1987,0.000000,0.000014
1988,0.000000,0.000013
1989,0.000000,0.000015
1990,0.000000,0.000017
1991,0.000000,0.000015
1992,0.000000,0.000015
1993,0.000000,0.000018
1994,0.000000,0.000020
1995,0.000000,0.000015
1996,0.000000,0.000020
1997,0.000000,0.000019
1998,0.000000,0.000020
1999,0.000000,0.000024
2000,0.000000,0.000029
2001,0.000000,0.000028
2002,0.000000,0.000037
2003,0.000000,0.000038
2004,0.000000,0.000035
2005,0.000000,0.000038
2006,0.000000,0.000031
2007,0.000000,0.000037
2008,0.000000,0.000040
2009,0.000000,0.000043
2010,0.000000,0.000053
2011,0.000000,0.000059
2012,0.000000,0.000054
2013,0.000000,0.000071
2014,0.000000,0.000091
2015,0.000000,0.000080
2016,0.000000,0.000094
2017,0.000000,0.000087
2018,0.000000,0.000090
2019,0.000000,0.000087
2020,0.000000,0.000088
