year,Elzie (F),Elzie (M)
1880,0.000000,0.000065
1881,0.000000,0.000036
1882,0.000000,0.000041
1883,0.000000,0.000055
1884,0.000021,0.000066
1885,0.000021,0.000071
1886,0.000020,0.000055
1887,0.000000,0.000053
1888,0.000000,0.000053
1889,0.000000,0.000028
1890,0.000027,0.000073
1891,0.000031,0.000084
1892,0.000000,0.000048
1893,0.000015,0.000058
1894,0.000018,0.000065
1895,0.000000,0.000028
1896,0.000014,0.000039
1897,0.000014,0.000043
1898,0.000018,0.000031
1899,0.000018,0.000038
1900,0.000013,0.000044
1901,0.000029,0.000052
1902,0.000021,0.000059
1903,0.000000,0.000058
1904,0.000030,0.000032
1905,0.000024,0.000045
1906,0.000019,0.000056
1907,0.000024,0.000039
1908,0.000023,0.000055
1909,0.000014,0.000039
1910,0.000029,0.000051
1911,0.000022,0.000051
1912,0.000016,0.000044
1913,0.000013,0.000050
1914,0.000013,0.000057
1915,0.000012,0.000049
1916,0.000009,0.000049
1917,0.000010,0.000054
1918,0.000011,0.000046
1919,0.000012,0.000045
1920,0.000004,0.000045
1921,0.000007,0.000043
1922,0.000009,0.000041
1923,0.000008,0.000037
1924,0.000008,0.000035
1925,0.000007,0.000035
1926,0.000007,0.000039
1927,0.000003,0.000038
1928,0.000007,0.000039
1929,0.000005,0.000033
1930,0.000002,0.000034
1931,0.000005,0.000030
1932,0.000007,0.000025
1933,0.000005,0.000030
1934,0.000003,0.000021
1935,0.000000,0.000031
1936,0.000003,0.000026
1937,0.000003,0.000020
1938,0.000004,0.000021
1939,0.000000,0.000022
1940,0.000003,0.000023
1941,0.000002,0.000018
1942,0.000000,0.000017
1943,0.000003,0.000016
1944,0.000000,0.000018
1945,0.000000,0.000015
1946,0.000000,0.000014
1947,0.000000,0.000009
1948,0.000000,0.000011
1949,0.000000,0.000010
1950,0.000000,0.000013
1951,0.000000,0.000010
1952,0.000000,0.000009
1953,0.000000,0.000010
1954,0.000000,0.000009
1955,0.000000,0.000007
1956,0.000000,0.000006
1957,0.000002,0.000008
1958,0.000000,0.000008
1959,0.000000,0.000004
1960,0.000000,0.000006
1961,0.000000,0.000005
1962,0.000000,0.000005
1963,0.000000,0.000005
1964,0.000000,0.000005
1965,0.000000,0.000004
1966,0.000000,0.000005
1967,0.000000,0.000006
1968,0.000000,0.000005
1969,0.000000,0.000005
1970,0.000000,0.000006
1971,0.000000,0.000003
1972,0.000000,0.000002
1973,0.000000,0.000004
1974,0.000000,0.000004
1975,0.000000,0.000005
1976,0.000000,0.000003
1977,0.000000,0.000003
1978,0.000000,0.000002
1979,0.000000,0.000002
1980,0.000000,0.000003
1981,0.000000,0.000003
1982,0.000000,0.000002
1983,0.000000,0.000000
1984,0.000000,0.000003
1985,0.000000,0.000003
1986,0.000000,0.000001
1987,0.000000,0.000000
1988,0.000000,0.000002
1989,0.000000,0.000002
1990,0.000000,0.000002
1991,0.000000,0.000000
1992,0.000000,0.000000
1993,0.000000,0.000000
1994,0.000000,0.000001
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000001
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000002
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000002
2004,0.000000,0.000002
2005,0.000000,0.000001
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000000
2013,0.000000,0.000000
2014,0.000000,0.000000
2015,0.000002,0.000000
2016,0.000002,0.000000
2017,0.000000,0.000000
2018,0.000002,0.000003
2019,0.000002,0.000000
2020,0.000002,0.000000
