year,Earlie (F),Earlie (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000028,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000029
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000020,0.000027
1889,0.000024,0.000000
1890,0.000027,0.000000
1891,0.000000,0.000000
1892,0.000018,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000014,0.000028
1896,0.000025,0.000028
1897,0.000020,0.000020
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000024,0.000024
1901,0.000040,0.000029
1902,0.000018,0.000026
1903,0.000029,0.000016
1904,0.000015,0.000025
1905,0.000026,0.000019
1906,0.000037,0.000030
1907,0.000017,0.000037
1908,0.000020,0.000025
1909,0.000022,0.000027
1910,0.000022,0.000027
1911,0.000008,0.000028
1912,0.000021,0.000018
1913,0.000011,0.000025
1914,0.000013,0.000025
1915,0.000011,0.000029
1916,0.000012,0.000022
1917,0.000011,0.000024
1918,0.000012,0.000020
1919,0.000012,0.000025
1920,0.000013,0.000023
1921,0.000012,0.000022
1922,0.000014,0.000026
1923,0.000013,0.000025
1924,0.000012,0.000020
1925,0.000013,0.000015
1926,0.000011,0.000018
1927,0.000016,0.000024
1928,0.000013,0.000019
1929,0.000012,0.000014
1930,0.000014,0.000023
1931,0.000014,0.000020
1932,0.000014,0.000019
1933,0.000012,0.000019
1934,0.000012,0.000017
1935,0.000012,0.000018
1936,0.000018,0.000015
1937,0.000013,0.000019
1938,0.000012,0.000017
1939,0.000012,0.000015
1940,0.000014,0.000019
1941,0.000009,0.000017
1942,0.000009,0.000015
1943,0.000009,0.000013
1944,0.000012,0.000017
1945,0.000005,0.000012
1946,0.000008,0.000011
1947,0.000011,0.000012
1948,0.000006,0.000008
1949,0.000005,0.000010
1950,0.000005,0.000008
1951,0.000005,0.000007
1952,0.000003,0.000007
1953,0.000003,0.000005
1954,0.000005,0.000006
1955,0.000002,0.000007
1956,0.000003,0.000006
1957,0.000001,0.000006
1958,0.000001,0.000003
1959,0.000002,0.000005
1960,0.000001,0.000003
1961,0.000002,0.000004
1962,0.000002,0.000005
1963,0.000001,0.000005
1964,0.000000,0.000002
1965,0.000000,0.000005
1966,0.000000,0.000004
1967,0.000000,0.000003
1968,0.000000,0.000004
1969,0.000000,0.000002
1970,0.000000,0.000003
1971,0.000000,0.000003
1972,0.000000,0.000003
1973,0.000000,0.000000
1974,0.000000,0.000004
1975,0.000000,0.000002
1976,0.000000,0.000003
1977,0.000000,0.000004
1978,0.000000,0.000003
1979,0.000000,0.000003
1980,0.000000,0.000002
1981,0.000000,0.000001
1982,0.000000,0.000000
1983,0.000000,0.000002
1984,0.000000,0.000002
1985,0.000000,0.000000
1986,0.000000,0.000003
1987,0.000000,0.000001
1988,0.000000,0.000000
1989,0.000000,0.000000
1990,0.000000,0.000000
1991,0.000000,0.000002
1992,0.000000,0.000000
1993,0.000000,0.000000
1994,0.000000,0.000000
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
