year,Elida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,6
1890,0
1891,7
1892,8
1893,10
1894,9
1895,8
1896,10
1897,9
1898,5
1899,0
1900,0
1901,7
1902,7
1903,7
1904,9
1905,8
1906,5
1907,9
1908,11
1909,9
1910,12
1911,11
1912,20
1913,16
1914,29
1915,33
1916,22
1917,22
1918,30
1919,42
1920,41
1921,40
1922,42
1923,40
1924,59
1925,71
1926,79
1927,73
1928,84
1929,105
1930,95
1931,95
1932,91
1933,88
1934,89
1935,110
1936,98
1937,98
1938,104
1939,93
1940,84
1941,104
1942,109
1943,128
1944,115
1945,112
1946,141
1947,119
1948,130
1949,107
1950,116
1951,125
1952,96
1953,115
1954,95
1955,94
1956,105
1957,113
1958,91
1959,92
1960,80
1961,81
1962,72
1963,77
1964,69
1965,63
1966,41
1967,68
1968,57
1969,63
1970,72
1971,68
1972,50
1973,65
1974,72
1975,70
1976,64
1977,62
1978,46
1979,55
1980,73
1981,76
1982,67
1983,66
1984,50
1985,55
1986,59
1987,45
1988,52
1989,57
1990,73
1991,62
1992,61
1993,66
1994,51
1995,63
1996,74
1997,60
1998,54
1999,55
2000,51
2001,63
2002,52
2003,44
2004,49
2005,48
2006,52
2007,46
2008,48
2009,41
2010,39
2011,44
2012,43
