year,Everardo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,0
1918,0
1919,5
1920,0
1921,0
1922,0
1923,8
1924,10
1925,8
1926,6
1927,6
1928,10
1929,6
1930,5
1931,12
1932,0
1933,8
1934,7
1935,8
1936,6
1937,10
1938,7
1939,7
1940,9
1941,12
1942,14
1943,10
1944,0
1945,13
1946,15
1947,9
1948,6
1949,17
1950,14
1951,6
1952,14
1953,13
1954,10
1955,14
1956,19
1957,17
1958,19
1959,15
1960,16
1961,23
1962,16
1963,12
1964,20
1965,13
1966,18
1967,21
1968,18
1969,28
1970,33
1971,28
1972,40
1973,52
1974,42
1975,45
1976,47
1977,54
1978,48
1979,62
1980,48
1981,52
1982,60
1983,50
1984,56
1985,61
1986,58
1987,57
1988,78
1989,75
1990,96
1991,103
1992,99
1993,115
1994,92
1995,105
1996,106
1997,88
1998,95
1999,117
2000,119
2001,119
2002,126
2003,123
2004,131
2005,111
2006,114
2007,115
2008,113
2009,74
2010,78
2011,88
2012,79
