year,Eulis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,5
1911,0
1912,5
1913,7
1914,14
1915,18
1916,24
1917,12
1918,11
1919,21
1920,24
1921,14
1922,18
1923,17
1924,26
1925,18
1926,18
1927,18
1928,25
1929,12
1930,18
1931,10
1932,15
1933,11
1934,17
1935,13
1936,15
1937,12
1938,8
1939,5
1940,10
1941,10
1942,9
1943,9
1944,10
1945,10
1946,5
1947,15
1948,13
1949,7
1950,9
1951,5
1952,0
1953,7
1954,7
1955,6
1956,0
1957,0
1958,7
1959,5
1960,0
1961,0
1962,5
1963,0
1964,0
1965,0
1966,0
1967,5
1968,0
1969,0
1970,0
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
