year,Etna
1880,7
1881,7
1882,12
1883,0
1884,8
1885,10
1886,15
1887,11
1888,12
1889,6
1890,15
1891,10
1892,7
1893,7
1894,15
1895,8
1896,10
1897,11
1898,8
1899,10
1900,5
1901,9
1902,15
1903,10
1904,6
1905,14
1906,7
1907,5
1908,8
1909,11
1910,10
1911,7
1912,8
1913,18
1914,11
1915,17
1916,25
1917,18
1918,23
1919,14
1920,16
1921,18
1922,10
1923,26
1924,13
1925,11
1926,8
1927,8
1928,10
1929,7
1930,9
1931,10
1932,9
1933,11
1934,5
1935,10
1936,5
1937,6
1938,0
1939,6
1940,5
1941,5
1942,6
1943,12
1944,9
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,6
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
