year,Eloisa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,7
1888,0
1889,5
1890,0
1891,11
1892,10
1893,9
1894,8
1895,11
1896,10
1897,7
1898,10
1899,14
1900,19
1901,12
1902,10
1903,8
1904,23
1905,17
1906,20
1907,15
1908,25
1909,20
1910,23
1911,14
1912,33
1913,34
1914,41
1915,51
1916,43
1917,78
1918,72
1919,101
1920,91
1921,88
1922,100
1923,78
1924,101
1925,72
1926,100
1927,86
1928,83
1929,83
1930,79
1931,55
1932,59
1933,60
1934,67
1935,60
1936,80
1937,57
1938,57
1939,57
1940,34
1941,63
1942,48
1943,83
1944,48
1945,65
1946,55
1947,60
1948,63
1949,49
1950,35
1951,53
1952,52
1953,38
1954,49
1955,50
1956,60
1957,49
1958,37
1959,36
1960,52
1961,55
1962,39
1963,45
1964,48
1965,49
1966,36
1967,46
1968,39
1969,47
1970,49
1971,55
1972,65
1973,54
1974,40
1975,56
1976,54
1977,54
1978,61
1979,62
1980,59
1981,58
1982,47
1983,54
1984,57
1985,46
1986,51
1987,43
1988,53
1989,67
1990,77
1991,65
1992,80
1993,63
1994,50
1995,56
1996,55
1997,53
1998,53
1999,45
2000,44
2001,44
2002,45
2003,40
2004,34
2005,55
2006,50
2007,33
2008,43
2009,32
2010,43
2011,42
2012,29
