year,Elease
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,5
1897,0
1898,0
1899,0
1900,6
1901,5
1902,0
1903,11
1904,13
1905,14
1906,16
1907,16
1908,15
1909,23
1910,22
1911,15
1912,29
1913,35
1914,47
1915,43
1916,64
1917,73
1918,48
1919,68
1920,74
1921,68
1922,96
1923,97
1924,81
1925,68
1926,92
1927,88
1928,87
1929,54
1930,79
1931,65
1932,77
1933,56
1934,66
1935,50
1936,60
1937,55
1938,46
1939,51
1940,56
1941,46
1942,59
1943,41
1944,43
1945,38
1946,33
1947,40
1948,41
1949,29
1950,30
1951,35
1952,24
1953,34
1954,28
1955,24
1956,18
1957,32
1958,20
1959,13
1960,12
1961,17
1962,13
1963,12
1964,21
1965,25
1966,10
1967,13
1968,12
1969,6
1970,9
1971,0
1972,0
1973,6
1974,7
1975,9
1976,7
1977,8
1978,14
1979,6
1980,13
1981,8
1982,0
1983,7
1984,7
1985,8
1986,9
1987,8
1988,7
1989,15
1990,6
1991,8
1992,7
1993,8
1994,0
1995,6
1996,0
1997,0
1998,8
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,13
