year,Emily (F),Emily (M)
1880,0.001042,0.000000
1881,0.001266,0.000000
1882,0.001228,0.000000
1883,0.001576,0.000000
1884,0.001495,0.000000
1885,0.001437,0.000000
1886,0.001445,0.000000
1887,0.001354,0.000000
1888,0.001526,0.000000
1889,0.001485,0.000000
1890,0.001689,0.000000
1891,0.001549,0.000000
1892,0.001549,0.000000
1893,0.001556,0.000000
1894,0.001627,0.000000
1895,0.001724,0.000000
1896,0.001474,0.000014
1897,0.001784,0.000000
1898,0.001646,0.000000
1899,0.001677,0.000000
1900,0.001390,0.000000
1901,0.001553,0.000000
1902,0.001567,0.000000
1903,0.001464,0.000000
1904,0.001485,0.000000
1905,0.001611,0.000000
1906,0.001445,0.000000
1907,0.001534,0.000000
1908,0.001498,0.000000
1909,0.001465,0.000000
1910,0.001329,0.000000
1911,0.001411,0.000000
1912,0.001161,0.000006
1913,0.001220,0.000000
1914,0.001165,0.000000
1915,0.001141,0.000000
1916,0.001144,0.000003
1917,0.001106,0.000000
1918,0.001087,0.000000
1919,0.001093,0.000003
1920,0.000958,0.000003
1921,0.000935,0.000003
1922,0.000938,0.000000
1923,0.000893,0.000002
1924,0.000858,0.000003
1925,0.000757,0.000002
1926,0.000754,0.000003
1927,0.000714,0.000005
1928,0.000687,0.000000
1929,0.000660,0.000003
1930,0.000605,0.000004
1931,0.000565,0.000004
1932,0.000543,0.000004
1933,0.000531,0.000000
1934,0.000514,0.000000
1935,0.000523,0.000000
1936,0.000541,0.000003
1937,0.000607,0.000002
1938,0.000592,0.000003
1939,0.000586,0.000004
1940,0.000551,0.000002
1941,0.000562,0.000004
1942,0.000520,0.000003
1943,0.000473,0.000000
1944,0.000465,0.000000
1945,0.000427,0.000003
1946,0.000432,0.000002
1947,0.000407,0.000000
1948,0.000403,0.000000
1949,0.000400,0.000000
1950,0.000376,0.000002
1951,0.000350,0.000000
1952,0.000367,0.000000
1953,0.000344,0.000000
1954,0.000337,0.000000
1955,0.000325,0.000000
1956,0.000310,0.000002
1957,0.000287,0.000000
1958,0.000284,0.000000
1959,0.000292,0.000000
1960,0.000294,0.000000
1961,0.000277,0.000000
1962,0.000267,0.000000
1963,0.000280,0.000000
1964,0.000291,0.000000
1965,0.000355,0.000000
1966,0.000360,0.000000
1967,0.000355,0.000001
1968,0.000393,0.000000
1969,0.000453,0.000000
1970,0.000536,0.000002
1971,0.000545,0.000000
1972,0.000742,0.000003
1973,0.001004,0.000004
1974,0.001424,0.000007
1975,0.001816,0.000005
1976,0.001827,0.000007
1977,0.002166,0.000005
1978,0.002357,0.000007
1979,0.002397,0.000008
1980,0.002615,0.000010
1981,0.003123,0.000014
1982,0.003570,0.000016
1983,0.003575,0.000013
1984,0.003666,0.000015
1985,0.003682,0.000013
1986,0.003723,0.000016
1987,0.004083,0.000014
1988,0.004296,0.000015
1989,0.004508,0.000021
1990,0.004900,0.000013
1991,0.005216,0.000009
1992,0.005686,0.000008
1993,0.006260,0.000011
1994,0.006499,0.000008
1995,0.006660,0.000011
1996,0.006899,0.000009
1997,0.007100,0.000010
1998,0.007121,0.000010
1999,0.007189,0.000012
2000,0.006872,0.000008
2001,0.006698,0.000009
2002,0.006548,0.000009
2003,0.006761,0.000011
2004,0.006556,0.000031
2005,0.006231,0.000009
2006,0.005414,0.000008
2007,0.004846,0.000007
2008,0.004441,0.000007
2009,0.004024,0.000005
2010,0.003869,0.000005
2011,0.003905,0.000003
2012,0.003739,0.000006
2013,0.003615,0.000006
