year,Emmaline
1880,14
1881,6
1882,0
1883,0
1884,8
1885,8
1886,5
1887,7
1888,13
1889,6
1890,9
1891,0
1892,10
1893,13
1894,7
1895,6
1896,6
1897,7
1898,14
1899,8
1900,10
1901,9
1902,12
1903,8
1904,6
1905,11
1906,11
1907,15
1908,11
1909,13
1910,11
1911,23
1912,25
1913,17
1914,24
1915,45
1916,34
1917,30
1918,30
1919,42
1920,36
1921,46
1922,36
1923,34
1924,28
1925,34
1926,37
1927,24
1928,18
1929,19
1930,25
1931,21
1932,16
1933,15
1934,17
1935,26
1936,22
1937,16
1938,20
1939,14
1940,15
1941,16
1942,17
1943,18
1944,13
1945,12
1946,15
1947,17
1948,10
1949,7
1950,11
1951,12
1952,9
1953,9
1954,7
1955,6
1956,8
1957,8
1958,6
1959,9
1960,9
1961,0
1962,7
1963,5
1964,8
1965,0
1966,0
1967,0
1968,0
1969,5
1970,0
1971,0
1972,0
1973,5
1974,0
1975,7
1976,8
1977,6
1978,5
1979,0
1980,6
1981,9
1982,9
1983,8
1984,8
1985,7
1986,17
1987,8
1988,19
1989,25
1990,25
1991,33
1992,42
1993,47
1994,52
1995,44
1996,67
1997,80
1998,91
1999,85
2000,100
2001,117
2002,131
2003,141
2004,135
2005,115
2006,106
2007,126
2008,167
2009,167
2010,204
2011,226
2012,296
