year,Elma (F),Elma (M)
1880,0.000139,0.000000
1881,0.000213,0.000000
1882,0.000212,0.000000
1883,0.000194,0.000000
1884,0.000242,0.000000
1885,0.000316,0.000000
1886,0.000321,0.000000
1887,0.000295,0.000000
1888,0.000324,0.000000
1889,0.000339,0.000000
1890,0.000358,0.000000
1891,0.000412,0.000000
1892,0.000335,0.000000
1893,0.000397,0.000000
1894,0.000375,0.000000
1895,0.000390,0.000000
1896,0.000448,0.000017
1897,0.000450,0.000000
1898,0.000451,0.000000
1899,0.000401,0.000000
1900,0.000404,0.000000
1901,0.000547,0.000000
1902,0.000515,0.000000
1903,0.000425,0.000000
1904,0.000397,0.000000
1905,0.000403,0.000012
1906,0.000450,0.000000
1907,0.000490,0.000000
1908,0.000426,0.000000
1909,0.000485,0.000000
1910,0.000462,0.000000
1911,0.000391,0.000009
1912,0.000380,0.000011
1913,0.000341,0.000011
1914,0.000342,0.000007
1915,0.000314,0.000007
1916,0.000322,0.000012
1917,0.000289,0.000004
1918,0.000304,0.000007
1919,0.000282,0.000007
1920,0.000265,0.000009
1921,0.000261,0.000008
1922,0.000253,0.000006
1923,0.000215,0.000008
1924,0.000219,0.000006
1925,0.000209,0.000007
1926,0.000196,0.000010
1927,0.000201,0.000008
1928,0.000187,0.000008
1929,0.000165,0.000005
1930,0.000162,0.000004
1931,0.000166,0.000004
1932,0.000142,0.000004
1933,0.000149,0.000005
1934,0.000137,0.000005
1935,0.000128,0.000004
1936,0.000124,0.000005
1937,0.000106,0.000008
1938,0.000110,0.000005
1939,0.000092,0.000005
1940,0.000089,0.000003
1941,0.000079,0.000005
1942,0.000083,0.000003
1943,0.000074,0.000000
1944,0.000060,0.000005
1945,0.000067,0.000002
1946,0.000051,0.000000
1947,0.000046,0.000001
1948,0.000046,0.000002
1949,0.000043,0.000002
1950,0.000041,0.000002
1951,0.000034,0.000002
1952,0.000034,0.000000
1953,0.000034,0.000000
1954,0.000029,0.000000
1955,0.000026,0.000000
1956,0.000025,0.000000
1957,0.000022,0.000002
1958,0.000027,0.000000
1959,0.000021,0.000000
1960,0.000027,0.000000
1961,0.000018,0.000000
1962,0.000018,0.000000
1963,0.000019,0.000000
1964,0.000016,0.000000
1965,0.000018,0.000000
1966,0.000014,0.000000
1967,0.000014,0.000000
1968,0.000015,0.000000
1969,0.000014,0.000000
1970,0.000009,0.000000
1971,0.000013,0.000000
1972,0.000013,0.000000
1973,0.000011,0.000000
1974,0.000012,0.000000
1975,0.000010,0.000000
1976,0.000011,0.000000
1977,0.000007,0.000000
1978,0.000010,0.000000
1979,0.000008,0.000000
1980,0.000006,0.000000
1981,0.000006,0.000000
1982,0.000007,0.000000
1983,0.000005,0.000000
1984,0.000008,0.000000
1985,0.000006,0.000000
1986,0.000004,0.000000
1987,0.000003,0.000000
1988,0.000005,0.000000
1989,0.000005,0.000000
1990,0.000004,0.000000
1991,0.000003,0.000000
1992,0.000004,0.000000
1993,0.000005,0.000000
1994,0.000005,0.000000
1995,0.000005,0.000000
1996,0.000005,0.000000
1997,0.000004,0.000000
1998,0.000005,0.000000
1999,0.000009,0.000000
2000,0.000010,0.000000
2001,0.000013,0.000000
2002,0.000010,0.000000
2003,0.000013,0.000000
2004,0.000010,0.000000
2005,0.000012,0.000000
2006,0.000009,0.000000
2007,0.000010,0.000000
2008,0.000009,0.000000
2009,0.000009,0.000000
2010,0.000008,0.000000
2011,0.000009,0.000000
2012,0.000009,0.000000
