year,Equilla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,8
1909,5
1910,6
1911,0
1912,10
1913,6
1914,14
1915,5
1916,10
1917,7
1918,12
1919,10
1920,5
1921,8
1922,5
1923,11
1924,11
1925,10
1926,9
1927,14
1928,9
1929,15
1930,6
1931,8
1932,13
1933,9
1934,5
1935,7
1936,5
1937,9
1938,8
1939,7
1940,9
1941,7
1942,0
1943,10
1944,6
1945,7
1946,8
1947,9
1948,12
1949,13
1950,14
1951,12
1952,0
1953,8
1954,7
1955,8
1956,11
1957,7
1958,11
1959,7
1960,6
1961,5
1962,8
1963,7
1964,5
1965,5
1966,6
1967,0
1968,5
1969,8
1970,0
1971,7
1972,8
1973,0
1974,5
1975,6
1976,6
1977,6
1978,0
1979,6
1980,0
1981,6
1982,0
1983,0
1984,0
1985,0
1986,21
1987,7
1988,0
1989,0
1990,0
1991,9
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
