year,Edwina
1880,0
1881,8
1882,0
1883,0
1884,9
1885,10
1886,9
1887,13
1888,13
1889,10
1890,15
1891,17
1892,11
1893,19
1894,28
1895,16
1896,24
1897,16
1898,16
1899,28
1900,25
1901,31
1902,28
1903,20
1904,32
1905,39
1906,22
1907,38
1908,51
1909,48
1910,53
1911,48
1912,71
1913,90
1914,128
1915,144
1916,149
1917,154
1918,183
1919,182
1920,186
1921,190
1922,234
1923,209
1924,206
1925,238
1926,221
1927,192
1928,173
1929,158
1930,188
1931,248
1932,259
1933,255
1934,232
1935,222
1936,268
1937,225
1938,223
1939,242
1940,266
1941,216
1942,319
1943,364
1944,326
1945,272
1946,283
1947,271
1948,254
1949,231
1950,220
1951,243
1952,228
1953,236
1954,247
1955,223
1956,225
1957,203
1958,177
1959,184
1960,192
1961,298
1962,350
1963,284
1964,257
1965,194
1966,199
1967,156
1968,137
1969,120
1970,101
1971,105
1972,105
1973,72
1974,80
1975,66
1976,76
1977,65
1978,84
1979,79
1980,133
1981,140
1982,115
1983,90
1984,84
1985,56
1986,40
1987,61
1988,61
1989,51
1990,31
1991,34
1992,35
1993,20
1994,23
1995,28
1996,16
1997,13
1998,9
1999,20
2000,22
2001,15
2002,16
2003,9
2004,7
2005,16
2006,12
2007,8
2008,11
2009,8
2010,9
2011,9
2012,9
