year,Edmonia
1880,11
1881,0
1882,5
1883,0
1884,6
1885,8
1886,14
1887,11
1888,9
1889,11
1890,14
1891,7
1892,12
1893,6
1894,11
1895,9
1896,7
1897,11
1898,14
1899,0
1900,8
1901,11
1902,13
1903,8
1904,11
1905,11
1906,12
1907,9
1908,16
1909,14
1910,18
1911,15
1912,17
1913,12
1914,21
1915,21
1916,15
1917,18
1918,25
1919,28
1920,23
1921,22
1922,29
1923,19
1924,24
1925,16
1926,14
1927,14
1928,14
1929,18
1930,12
1931,10
1932,13
1933,8
1934,17
1935,7
1936,14
1937,11
1938,13
1939,6
1940,13
1941,8
1942,11
1943,5
1944,11
1945,7
1946,6
1947,9
1948,6
1949,6
1950,7
1951,5
1952,7
1953,6
1954,0
1955,5
1956,0
1957,8
1958,0
1959,0
1960,5
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
