year,Emery (F),Emery (M)
1880,0.000000,0.000258
1881,0.000000,0.000275
1882,0.000000,0.000239
1883,0.000000,0.000198
1884,0.000000,0.000209
1885,0.000000,0.000170
1886,0.000000,0.000172
1887,0.000000,0.000133
1888,0.000000,0.000124
1889,0.000000,0.000145
1890,0.000000,0.000113
1891,0.000000,0.000129
1892,0.000000,0.000144
1893,0.000000,0.000157
1894,0.000000,0.000118
1895,0.000000,0.000105
1896,0.000000,0.000115
1897,0.000000,0.000130
1898,0.000000,0.000126
1899,0.000000,0.000112
1900,0.000000,0.000093
1901,0.000000,0.000101
1902,0.000000,0.000101
1903,0.000000,0.000092
1904,0.000000,0.000074
1905,0.000000,0.000106
1906,0.000012,0.000079
1907,0.000000,0.000092
1908,0.000000,0.000098
1909,0.000000,0.000092
1910,0.000000,0.000093
1911,0.000000,0.000109
1912,0.000000,0.000139
1913,0.000000,0.000150
1914,0.000000,0.000149
1915,0.000000,0.000150
1916,0.000000,0.000138
1917,0.000002,0.000143
1918,0.000003,0.000125
1919,0.000000,0.000144
1920,0.000002,0.000125
1921,0.000000,0.000125
1922,0.000003,0.000121
1923,0.000003,0.000108
1924,0.000000,0.000113
1925,0.000002,0.000107
1926,0.000003,0.000098
1927,0.000003,0.000095
1928,0.000002,0.000100
1929,0.000003,0.000095
1930,0.000000,0.000087
1931,0.000000,0.000084
1932,0.000000,0.000077
1933,0.000000,0.000081
1934,0.000000,0.000086
1935,0.000000,0.000087
1936,0.000000,0.000069
1937,0.000000,0.000066
1938,0.000003,0.000071
1939,0.000003,0.000074
1940,0.000000,0.000063
1941,0.000000,0.000062
1942,0.000002,0.000059
1943,0.000000,0.000046
1944,0.000000,0.000041
1945,0.000000,0.000045
1946,0.000000,0.000038
1947,0.000000,0.000040
1948,0.000000,0.000041
1949,0.000001,0.000039
1950,0.000000,0.000037
1951,0.000000,0.000039
1952,0.000000,0.000037
1953,0.000000,0.000032
1954,0.000000,0.000032
1955,0.000000,0.000033
1956,0.000000,0.000036
1957,0.000002,0.000030
1958,0.000000,0.000024
1959,0.000001,0.000026
1960,0.000002,0.000035
1961,0.000000,0.000029
1962,0.000001,0.000036
1963,0.000000,0.000031
1964,0.000000,0.000032
1965,0.000000,0.000030
1966,0.000000,0.000023
1967,0.000000,0.000021
1968,0.000000,0.000027
1969,0.000000,0.000026
1970,0.000000,0.000019
1971,0.000000,0.000023
1972,0.000002,0.000023
1973,0.000000,0.000027
1974,0.000004,0.000019
1975,0.000002,0.000025
1976,0.000000,0.000024
1977,0.000003,0.000023
1978,0.000003,0.000020
1979,0.000003,0.000027
1980,0.000002,0.000018
1981,0.000003,0.000024
1982,0.000003,0.000023
1983,0.000005,0.000021
1984,0.000005,0.000020
1985,0.000005,0.000021
1986,0.000006,0.000022
1987,0.000006,0.000024
1988,0.000005,0.000022
1989,0.000007,0.000021
1990,0.000007,0.000019
1991,0.000007,0.000020
1992,0.000012,0.000023
1993,0.000010,0.000019
1994,0.000010,0.000023
1995,0.000013,0.000021
1996,0.000021,0.000019
1997,0.000020,0.000022
1998,0.000024,0.000021
1999,0.000030,0.000021
2000,0.000027,0.000022
2001,0.000028,0.000022
2002,0.000036,0.000025
2003,0.000041,0.000032
2004,0.000054,0.000031
2005,0.000083,0.000043
2006,0.000089,0.000046
2007,0.000130,0.000051
2008,0.000173,0.000077
2009,0.000255,0.000077
2010,0.000277,0.000084
2011,0.000321,0.000088
2012,0.000408,0.000100
