year,Evonne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,0
1914,0
1915,7
1916,0
1917,6
1918,5
1919,10
1920,13
1921,11
1922,8
1923,15
1924,12
1925,25
1926,22
1927,17
1928,26
1929,23
1930,34
1931,30
1932,30
1933,37
1934,36
1935,54
1936,76
1937,67
1938,58
1939,66
1940,54
1941,58
1942,77
1943,54
1944,50
1945,56
1946,72
1947,87
1948,93
1949,80
1950,84
1951,96
1952,101
1953,101
1954,119
1955,78
1956,102
1957,124
1958,104
1959,101
1960,84
1961,106
1962,83
1963,87
1964,81
1965,90
1966,102
1967,111
1968,71
1969,74
1970,72
1971,77
1972,84
1973,71
1974,66
1975,67
1976,75
1977,63
1978,65
1979,65
1980,55
1981,53
1982,47
1983,56
1984,61
1985,49
1986,39
1987,40
1988,22
1989,31
1990,28
1991,31
1992,21
1993,27
1994,39
1995,19
1996,29
1997,24
1998,28
1999,16
2000,15
2001,17
2002,21
2003,26
2004,20
2005,15
2006,18
2007,23
2008,10
2009,16
2010,9
2011,11
2012,18
