year,Evette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,5
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,8
1940,8
1941,9
1942,14
1943,7
1944,7
1945,11
1946,19
1947,13
1948,24
1949,21
1950,25
1951,33
1952,33
1953,40
1954,39
1955,45
1956,87
1957,87
1958,84
1959,88
1960,129
1961,121
1962,126
1963,140
1964,168
1965,176
1966,197
1967,237
1968,183
1969,201
1970,217
1971,211
1972,170
1973,124
1974,126
1975,98
1976,115
1977,110
1978,106
1979,92
1980,83
1981,98
1982,83
1983,72
1984,83
1985,75
1986,73
1987,73
1988,67
1989,55
1990,73
1991,66
1992,58
1993,65
1994,54
1995,35
1996,37
1997,37
1998,50
1999,42
2000,34
2001,53
2002,40
2003,55
2004,36
2005,37
2006,40
2007,45
2008,46
2009,49
2010,36
2011,39
2012,31
