year,Ervin (F),Ervin (M)
1880,0.000000,0.000149
1881,0.000000,0.000166
1882,0.000000,0.000199
1883,0.000000,0.000212
1884,0.000000,0.000209
1885,0.000000,0.000145
1886,0.000000,0.000125
1887,0.000000,0.000141
1888,0.000000,0.000180
1889,0.000000,0.000180
1890,0.000000,0.000143
1891,0.000000,0.000122
1892,0.000000,0.000156
1893,0.000000,0.000129
1894,0.000000,0.000165
1895,0.000000,0.000145
1896,0.000000,0.000154
1897,0.000000,0.000159
1898,0.000000,0.000178
1899,0.000000,0.000156
1900,0.000000,0.000195
1901,0.000000,0.000182
1902,0.000000,0.000197
1903,0.000000,0.000152
1904,0.000000,0.000201
1905,0.000000,0.000264
1906,0.000000,0.000236
1907,0.000000,0.000249
1908,0.000000,0.000199
1909,0.000000,0.000201
1910,0.000000,0.000222
1911,0.000000,0.000224
1912,0.000000,0.000298
1913,0.000000,0.000305
1914,0.000004,0.000349
1915,0.000000,0.000318
1916,0.000004,0.000358
1917,0.000000,0.000358
1918,0.000003,0.000371
1919,0.000000,0.000381
1920,0.000004,0.000373
1921,0.000003,0.000368
1922,0.000000,0.000346
1923,0.000003,0.000342
1924,0.000000,0.000306
1925,0.000002,0.000316
1926,0.000003,0.000335
1927,0.000004,0.000329
1928,0.000000,0.000297
1929,0.000000,0.000294
1930,0.000003,0.000281
1931,0.000000,0.000270
1932,0.000000,0.000261
1933,0.000000,0.000234
1934,0.000002,0.000259
1935,0.000000,0.000238
1936,0.000000,0.000232
1937,0.000003,0.000198
1938,0.000000,0.000221
1939,0.000000,0.000196
1940,0.000000,0.000181
1941,0.000000,0.000185
1942,0.000000,0.000179
1943,0.000000,0.000171
1944,0.000002,0.000156
1945,0.000002,0.000158
1946,0.000002,0.000132
1947,0.000000,0.000136
1948,0.000001,0.000139
1949,0.000000,0.000130
1950,0.000000,0.000121
1951,0.000000,0.000127
1952,0.000000,0.000113
1953,0.000002,0.000118
1954,0.000000,0.000113
1955,0.000000,0.000105
1956,0.000000,0.000105
1957,0.000000,0.000099
1958,0.000000,0.000091
1959,0.000000,0.000100
1960,0.000000,0.000080
1961,0.000000,0.000079
1962,0.000002,0.000081
1963,0.000000,0.000078
1964,0.000000,0.000066
1965,0.000000,0.000082
1966,0.000000,0.000071
1967,0.000000,0.000068
1968,0.000000,0.000065
1969,0.000000,0.000062
1970,0.000000,0.000057
1971,0.000000,0.000064
1972,0.000000,0.000071
1973,0.000000,0.000058
1974,0.000000,0.000059
1975,0.000000,0.000052
1976,0.000000,0.000048
1977,0.000000,0.000047
1978,0.000000,0.000050
1979,0.000002,0.000049
1980,0.000000,0.000051
1981,0.000002,0.000051
1982,0.000000,0.000047
1983,0.000000,0.000045
1984,0.000000,0.000045
1985,0.000000,0.000037
1986,0.000000,0.000040
1987,0.000000,0.000045
1988,0.000001,0.000053
1989,0.000000,0.000041
1990,0.000001,0.000040
1991,0.000000,0.000042
1992,0.000000,0.000054
1993,0.000000,0.000045
1994,0.000000,0.000037
1995,0.000000,0.000039
1996,0.000000,0.000041
1997,0.000000,0.000040
1998,0.000000,0.000031
1999,0.000000,0.000031
2000,0.000000,0.000034
2001,0.000000,0.000036
2002,0.000000,0.000037
2003,0.000000,0.000044
2004,0.000000,0.000030
2005,0.000000,0.000034
2006,0.000000,0.000035
2007,0.000000,0.000036
2008,0.000000,0.000035
2009,0.000000,0.000034
2010,0.000000,0.000030
2011,0.000000,0.000031
2012,0.000000,0.000030
2013,0.000000,0.000035
2014,0.000000,0.000029
2015,0.000000,0.000025
2016,0.000000,0.000025
2017,0.000000,0.000031
2018,0.000000,0.000029
2019,0.000000,0.000031
2020,0.000000,0.000027
