year,Eligah (F),Eligah (M)
1880,0.000000,0.000035
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000000
1884,0.000000,0.000025
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000020
1891,0.000000,0.000024
1892,0.000000,0.000015
1893,0.000000,0.000022
1894,0.000000,0.000027
1895,0.000000,0.000020
1896,0.000000,0.000000
1897,0.000000,0.000023
1898,0.000000,0.000016
1899,0.000000,0.000024
1900,0.000000,0.000022
1901,0.000000,0.000017
1902,0.000000,0.000036
1903,0.000000,0.000018
1904,0.000000,0.000025
1905,0.000000,0.000017
1906,0.000000,0.000021
1907,0.000000,0.000015
1908,0.000000,0.000016
1909,0.000000,0.000016
1910,0.000000,0.000024
1911,0.000000,0.000020
1912,0.000000,0.000018
1913,0.000000,0.000018
1914,0.000000,0.000018
1915,0.000000,0.000017
1916,0.000000,0.000012
1917,0.000000,0.000015
1918,0.000000,0.000024
1919,0.000000,0.000014
1920,0.000000,0.000010
1921,0.000000,0.000013
1922,0.000000,0.000017
1923,0.000000,0.000019
1924,0.000000,0.000016
1925,0.000000,0.000009
1926,0.000000,0.000013
1927,0.000000,0.000017
1928,0.000000,0.000014
1929,0.000000,0.000015
1930,0.000000,0.000018
1931,0.000000,0.000011
1932,0.000000,0.000014
1933,0.000000,0.000008
1934,0.000000,0.000017
1935,0.000000,0.000015
1936,0.000000,0.000012
1937,0.000000,0.000011
1938,0.000000,0.000008
1939,0.000000,0.000010
1940,0.000000,0.000011
1941,0.000000,0.000009
1942,0.000000,0.000009
1943,0.000000,0.000006
1944,0.000000,0.000008
1945,0.000000,0.000007
1946,0.000000,0.000007
1947,0.000000,0.000005
1948,0.000000,0.000004
1949,0.000000,0.000005
1950,0.000000,0.000006
1951,0.000000,0.000005
1952,0.000000,0.000004
1953,0.000000,0.000004
1954,0.000000,0.000004
1955,0.000000,0.000003
1956,0.000000,0.000003
1957,0.000000,0.000001
1958,0.000000,0.000002
1959,0.000000,0.000002
1960,0.000000,0.000000
1961,0.000000,0.000001
1962,0.000000,0.000002
1963,0.000000,0.000002
1964,0.000000,0.000000
1965,0.000000,0.000002
1966,0.000000,0.000000
1967,0.000000,0.000000
1968,0.000000,0.000002
1969,0.000000,0.000000
1970,0.000000,0.000004
1971,0.000000,0.000000
1972,0.000000,0.000000
1973,0.000000,0.000000
1974,0.000000,0.000002
1975,0.000000,0.000000
1976,0.000000,0.000000
1977,0.000000,0.000002
1978,0.000000,0.000000
1979,0.000000,0.000002
1980,0.000000,0.000001
1981,0.000000,0.000002
1982,0.000000,0.000002
1983,0.000000,0.000002
1984,0.000000,0.000001
1985,0.000000,0.000002
1986,0.000000,0.000000
1987,0.000000,0.000002
1988,0.000000,0.000002
1989,0.000000,0.000002
1990,0.000000,0.000002
1991,0.000000,0.000000
1992,0.000000,0.000000
1993,0.000000,0.000000
1994,0.000000,0.000003
1995,0.000000,0.000004
1996,0.000000,0.000004
1997,0.000000,0.000001
1998,0.000000,0.000001
1999,0.000000,0.000003
2000,0.000000,0.000002
2001,0.000000,0.000003
2002,0.000000,0.000002
2003,0.000000,0.000004
2004,0.000000,0.000003
2005,0.000000,0.000003
2006,0.000000,0.000003
2007,0.000000,0.000003
2008,0.000000,0.000003
2009,0.000000,0.000003
2010,0.000000,0.000002
2011,0.000000,0.000004
2012,0.000000,0.000002
2013,0.000000,0.000002
