year,Evan (F),Evan (M)
1880,0.000000,0.000109
1881,0.000000,0.000125
1882,0.000000,0.000054
1883,0.000000,0.000083
1884,0.000000,0.000090
1885,0.000000,0.000095
1886,0.000000,0.000043
1887,0.000000,0.000085
1888,0.000000,0.000073
1889,0.000000,0.000059
1890,0.000000,0.000073
1891,0.000000,0.000063
1892,0.000000,0.000060
1893,0.000000,0.000052
1894,0.000000,0.000074
1895,0.000000,0.000037
1896,0.000000,0.000039
1897,0.000000,0.000049
1898,0.000000,0.000063
1899,0.000000,0.000050
1900,0.000000,0.000053
1901,0.000000,0.000069
1902,0.000000,0.000052
1903,0.000000,0.000058
1904,0.000000,0.000030
1905,0.000000,0.000047
1906,0.000000,0.000061
1907,0.000000,0.000043
1908,0.000000,0.000051
1909,0.000000,0.000049
1910,0.000000,0.000052
1911,0.000000,0.000045
1912,0.000000,0.000078
1913,0.000000,0.000081
1914,0.000000,0.000070
1915,0.000003,0.000081
1916,0.000003,0.000094
1917,0.000003,0.000080
1918,0.000003,0.000082
1919,0.000000,0.000063
1920,0.000000,0.000070
1921,0.000003,0.000067
1922,0.000004,0.000080
1923,0.000000,0.000064
1924,0.000003,0.000071
1925,0.000003,0.000067
1926,0.000003,0.000055
1927,0.000002,0.000071
1928,0.000002,0.000057
1929,0.000003,0.000054
1930,0.000000,0.000057
1931,0.000000,0.000053
1932,0.000000,0.000055
1933,0.000004,0.000054
1934,0.000000,0.000065
1935,0.000003,0.000051
1936,0.000000,0.000047
1937,0.000000,0.000056
1938,0.000000,0.000058
1939,0.000002,0.000057
1940,0.000003,0.000055
1941,0.000000,0.000053
1942,0.000003,0.000056
1943,0.000000,0.000052
1944,0.000000,0.000051
1945,0.000003,0.000052
1946,0.000000,0.000052
1947,0.000000,0.000058
1948,0.000001,0.000048
1949,0.000002,0.000050
1950,0.000003,0.000059
1951,0.000003,0.000061
1952,0.000002,0.000076
1953,0.000003,0.000071
1954,0.000004,0.000072
1955,0.000002,0.000080
1956,0.000004,0.000087
1957,0.000003,0.000071
1958,0.000002,0.000080
1959,0.000003,0.000095
1960,0.000004,0.000108
1961,0.000003,0.000117
1962,0.000003,0.000123
1963,0.000002,0.000115
1964,0.000003,0.000156
1965,0.000004,0.000154
1966,0.000003,0.000157
1967,0.000002,0.000145
1968,0.000001,0.000134
1969,0.000004,0.000157
1970,0.000002,0.000165
1971,0.000005,0.000160
1972,0.000003,0.000178
1973,0.000002,0.000190
1974,0.000003,0.000208
1975,0.000004,0.000206
1976,0.000005,0.000257
1977,0.000008,0.000317
1978,0.000008,0.000365
1979,0.000008,0.000422
1980,0.000009,0.000472
1981,0.000017,0.000570
1982,0.000017,0.000761
1983,0.000022,0.000879
1984,0.000024,0.000842
1985,0.000029,0.000902
1986,0.000026,0.001093
1987,0.000023,0.001073
1988,0.000022,0.001173
1989,0.000030,0.001281
1990,0.000028,0.001344
1991,0.000036,0.001400
1992,0.000033,0.001576
1993,0.000027,0.001615
1994,0.000027,0.001585
1995,0.000024,0.001663
1996,0.000025,0.001530
1997,0.000023,0.001656
1998,0.000023,0.001654
1999,0.000021,0.001855
2000,0.000022,0.001940
2001,0.000023,0.001940
2002,0.000027,0.001976
2003,0.000024,0.002485
2004,0.000035,0.002613
2005,0.000028,0.002629
2006,0.000025,0.002561
2007,0.000029,0.002575
2008,0.000033,0.002526
2009,0.000028,0.002692
2010,0.000024,0.002635
2011,0.000027,0.002368
2012,0.000034,0.002162
2013,0.000028,0.001955
2014,0.000021,0.001815
2015,0.000027,0.001599
2016,0.000024,0.001531
2017,0.000024,0.001323
2018,0.000025,0.001249
2019,0.000021,0.001144
2020,0.000026,0.001025
