year,Earma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,9
1914,6
1915,7
1916,0
1917,14
1918,11
1919,12
1920,14
1921,10
1922,12
1923,14
1924,13
1925,15
1926,13
1927,12
1928,16
1929,13
1930,12
1931,8
1932,17
1933,13
1934,13
1935,14
1936,12
1937,10
1938,24
1939,18
1940,23
1941,18
1942,14
1943,18
1944,19
1945,17
1946,10
1947,15
1948,14
1949,11
1950,14
1951,10
1952,14
1953,9
1954,10
1955,11
1956,0
1957,6
1958,7
1959,0
1960,5
1961,9
1962,0
1963,5
1964,0
1965,0
1966,5
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
