year,Efrem
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,5
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,5
1947,0
1948,6
1949,0
1950,0
1951,0
1952,0
1953,0
1954,5
1955,0
1956,0
1957,0
1958,8
1959,85
1960,56
1961,83
1962,55
1963,43
1964,46
1965,51
1966,77
1967,79
1968,68
1969,54
1970,59
1971,48
1972,42
1973,30
1974,29
1975,29
1976,24
1977,18
1978,17
1979,16
1980,15
1981,15
1982,18
1983,18
1984,20
1985,23
1986,19
1987,25
1988,15
1989,13
1990,22
1991,11
1992,16
1993,14
1994,20
1995,12
1996,12
1997,9
1998,8
1999,14
2000,14
2001,12
2002,12
2003,16
2004,12
2005,10
2006,15
2007,8
2008,14
2009,12
2010,8
2011,8
2012,12
