year,Eli (F),Eli (M)
1880,0.000000,0.000362
1881,0.000000,0.000503
1882,0.000000,0.000424
1883,0.000000,0.000378
1884,0.000000,0.000275
1885,0.000000,0.000233
1886,0.000000,0.000259
1887,0.000000,0.000206
1888,0.000000,0.000250
1889,0.000000,0.000208
1890,0.000000,0.000163
1891,0.000000,0.000171
1892,0.000000,0.000179
1893,0.000000,0.000163
1894,0.000000,0.000177
1895,0.000000,0.000157
1896,0.000000,0.000120
1897,0.000000,0.000112
1898,0.000000,0.000121
1899,0.000000,0.000112
1900,0.000000,0.000100
1901,0.000000,0.000130
1902,0.000000,0.000132
1903,0.000000,0.000123
1904,0.000000,0.000107
1905,0.000000,0.000101
1906,0.000000,0.000103
1907,0.000000,0.000107
1908,0.000000,0.000113
1909,0.000000,0.000117
1910,0.000000,0.000107
1911,0.000000,0.000126
1912,0.000000,0.000161
1913,0.000000,0.000147
1914,0.000000,0.000147
1915,0.000000,0.000147
1916,0.000003,0.000140
1917,0.000000,0.000123
1918,0.000000,0.000132
1919,0.000000,0.000114
1920,0.000003,0.000111
1921,0.000002,0.000125
1922,0.000000,0.000120
1923,0.000000,0.000113
1924,0.000000,0.000104
1925,0.000000,0.000125
1926,0.000000,0.000116
1927,0.000000,0.000097
1928,0.000000,0.000095
1929,0.000000,0.000090
1930,0.000000,0.000086
1931,0.000000,0.000082
1932,0.000000,0.000088
1933,0.000000,0.000079
1934,0.000000,0.000085
1935,0.000000,0.000084
1936,0.000000,0.000077
1937,0.000000,0.000068
1938,0.000000,0.000054
1939,0.000000,0.000050
1940,0.000000,0.000061
1941,0.000000,0.000053
1942,0.000000,0.000048
1943,0.000000,0.000042
1944,0.000000,0.000046
1945,0.000000,0.000047
1946,0.000000,0.000036
1947,0.000000,0.000040
1948,0.000000,0.000040
1949,0.000000,0.000036
1950,0.000000,0.000040
1951,0.000000,0.000039
1952,0.000000,0.000037
1953,0.000000,0.000033
1954,0.000000,0.000034
1955,0.000000,0.000030
1956,0.000000,0.000037
1957,0.000000,0.000031
1958,0.000000,0.000028
1959,0.000000,0.000035
1960,0.000000,0.000036
1961,0.000000,0.000036
1962,0.000000,0.000034
1963,0.000000,0.000035
1964,0.000000,0.000031
1965,0.000000,0.000032
1966,0.000000,0.000033
1967,0.000000,0.000037
1968,0.000000,0.000041
1969,0.000000,0.000037
1970,0.000000,0.000064
1971,0.000000,0.000078
1972,0.000002,0.000084
1973,0.000002,0.000112
1974,0.000002,0.000123
1975,0.000000,0.000113
1976,0.000004,0.000126
1977,0.000002,0.000150
1978,0.000002,0.000140
1979,0.000000,0.000150
1980,0.000003,0.000156
1981,0.000001,0.000159
1982,0.000003,0.000143
1983,0.000003,0.000150
1984,0.000002,0.000146
1985,0.000003,0.000156
1986,0.000001,0.000159
1987,0.000002,0.000153
1988,0.000003,0.000147
1989,0.000002,0.000162
1990,0.000002,0.000169
1991,0.000003,0.000183
1992,0.000003,0.000184
1993,0.000004,0.000233
1994,0.000004,0.000239
1995,0.000004,0.000235
1996,0.000002,0.000244
1997,0.000003,0.000239
1998,0.000005,0.000275
1999,0.000004,0.000288
2000,0.000002,0.000391
2001,0.000006,0.000437
2002,0.000005,0.000518
2003,0.000004,0.000521
2004,0.000011,0.000662
2005,0.000005,0.000699
2006,0.000006,0.000755
2007,0.000005,0.000811
2008,0.000005,0.001149
2009,0.000008,0.001287
2010,0.000008,0.001777
2011,0.000011,0.001974
2012,0.000008,0.002209
2013,0.000010,0.002180
2014,0.000006,0.002025
2015,0.000007,0.001933
2016,0.000009,0.001942
2017,0.000006,0.001853
2018,0.000011,0.001730
2019,0.000010,0.001592
2020,0.000008,0.001577
