year,Elayne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,5
1914,6
1915,14
1916,22
1917,26
1918,20
1919,30
1920,50
1921,79
1922,70
1923,77
1924,102
1925,100
1926,82
1927,84
1928,56
1929,61
1930,66
1931,74
1932,63
1933,52
1934,54
1935,49
1936,50
1937,49
1938,42
1939,32
1940,40
1941,58
1942,64
1943,67
1944,67
1945,82
1946,104
1947,98
1948,80
1949,80
1950,66
1951,55
1952,59
1953,50
1954,69
1955,52
1956,44
1957,49
1958,49
1959,45
1960,40
1961,37
1962,40
1963,34
1964,31
1965,37
1966,23
1967,23
1968,24
1969,17
1970,17
1971,17
1972,6
1973,10
1974,13
1975,12
1976,18
1977,24
1978,16
1979,12
1980,16
1981,14
1982,14
1983,10
1984,11
1985,10
1986,13
1987,23
1988,17
1989,13
1990,17
1991,13
1992,28
1993,32
1994,12
1995,17
1996,23
1997,21
1998,20
1999,14
2000,25
2001,17
2002,15
2003,11
2004,15
2005,12
2006,18
2007,24
2008,19
2009,19
2010,12
2011,22
2012,31
