year,Emilie
1880,46
1881,38
1882,45
1883,56
1884,53
1885,60
1886,61
1887,67
1888,65
1889,62
1890,68
1891,85
1892,92
1893,85
1894,81
1895,72
1896,74
1897,77
1898,68
1899,57
1900,58
1901,45
1902,63
1903,58
1904,37
1905,51
1906,51
1907,66
1908,55
1909,48
1910,51
1911,57
1912,89
1913,98
1914,111
1915,160
1916,153
1917,151
1918,174
1919,168
1920,193
1921,147
1922,169
1923,154
1924,161
1925,114
1926,121
1927,103
1928,85
1929,82
1930,67
1931,67
1932,49
1933,53
1934,69
1935,108
1936,146
1937,178
1938,160
1939,176
1940,162
1941,151
1942,116
1943,116
1944,96
1945,87
1946,104
1947,98
1948,79
1949,83
1950,85
1951,83
1952,79
1953,66
1954,90
1955,79
1956,79
1957,65
1958,62
1959,60
1960,71
1961,53
1962,43
1963,53
1964,54
1965,65
1966,58
1967,47
1968,44
1969,65
1970,78
1971,69
1972,60
1973,73
1974,111
1975,207
1976,130
1977,148
1978,183
1979,206
1980,221
1981,267
1982,271
1983,220
1984,251
1985,285
1986,237
1987,277
1988,309
1989,312
1990,365
1991,363
1992,387
1993,455
1994,486
1995,482
1996,519
1997,525
1998,486
1999,555
2000,562
2001,625
2002,624
2003,659
2004,658
2005,623
2006,630
2007,509
2008,442
2009,401
2010,380
2011,386
2012,377
