year,Elson
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,7
1912,6
1913,6
1914,7
1915,9
1916,16
1917,17
1918,21
1919,18
1920,21
1921,14
1922,21
1923,15
1924,28
1925,19
1926,14
1927,10
1928,12
1929,13
1930,13
1931,14
1932,10
1933,15
1934,8
1935,9
1936,18
1937,14
1938,9
1939,12
1940,16
1941,8
1942,11
1943,12
1944,12
1945,13
1946,9
1947,15
1948,15
1949,16
1950,7
1951,10
1952,15
1953,8
1954,8
1955,10
1956,7
1957,6
1958,8
1959,9
1960,7
1961,5
1962,9
1963,11
1964,6
1965,5
1966,6
1967,0
1968,10
1969,9
1970,10
1971,12
1972,9
1973,6
1974,11
1975,15
1976,6
1977,8
1978,0
1979,14
1980,11
1981,6
1982,15
1983,8
1984,9
1985,8
1986,8
1987,11
1988,11
1989,9
1990,13
1991,11
1992,11
1993,12
1994,8
1995,6
1996,8
1997,14
1998,12
1999,10
2000,11
2001,14
2002,8
2003,10
2004,11
2005,12
2006,14
2007,22
2008,10
2009,11
2010,7
2011,14
2012,25
