year,Edyth
1880,6
1881,7
1882,10
1883,9
1884,11
1885,13
1886,11
1887,14
1888,15
1889,14
1890,16
1891,9
1892,19
1893,14
1894,25
1895,18
1896,19
1897,19
1898,15
1899,22
1900,17
1901,18
1902,24
1903,20
1904,19
1905,24
1906,27
1907,19
1908,20
1909,22
1910,16
1911,20
1912,25
1913,30
1914,44
1915,59
1916,55
1917,66
1918,76
1919,60
1920,76
1921,68
1922,74
1923,56
1924,60
1925,56
1926,49
1927,47
1928,26
1929,28
1930,36
1931,37
1932,35
1933,20
1934,22
1935,31
1936,12
1937,25
1938,23
1939,15
1940,14
1941,24
1942,31
1943,19
1944,21
1945,13
1946,14
1947,19
1948,14
1949,14
1950,12
1951,16
1952,7
1953,12
1954,18
1955,13
1956,15
1957,0
1958,19
1959,15
1960,12
1961,6
1962,10
1963,15
1964,8
1965,8
1966,6
1967,6
1968,8
1969,0
1970,0
1971,0
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,7
1993,5
1994,0
1995,6
1996,0
1997,0
1998,5
1999,0
2000,0
2001,7
2002,5
2003,0
2004,0
2005,5
2006,0
2007,5
2008,0
2009,5
2010,6
2011,5
2012,5
