year,Emmanuel (F),Emmanuel (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000018
1909,0.000000,0.000000
1910,0.000000,0.000017
1911,0.000000,0.000012
1912,0.000000,0.000013
1913,0.000000,0.000012
1914,0.000000,0.000018
1915,0.000000,0.000018
1916,0.000000,0.000015
1917,0.000000,0.000016
1918,0.000000,0.000015
1919,0.000000,0.000015
1920,0.000000,0.000014
1921,0.000000,0.000013
1922,0.000000,0.000017
1923,0.000000,0.000021
1924,0.000000,0.000013
1925,0.000000,0.000019
1926,0.000000,0.000013
1927,0.000000,0.000011
1928,0.000000,0.000013
1929,0.000000,0.000018
1930,0.000000,0.000018
1931,0.000000,0.000020
1932,0.000000,0.000012
1933,0.000000,0.000013
1934,0.000000,0.000016
1935,0.000000,0.000015
1936,0.000000,0.000013
1937,0.000000,0.000014
1938,0.000000,0.000020
1939,0.000000,0.000014
1940,0.000000,0.000012
1941,0.000000,0.000013
1942,0.000000,0.000015
1943,0.000000,0.000012
1944,0.000000,0.000013
1945,0.000000,0.000012
1946,0.000000,0.000012
1947,0.000000,0.000013
1948,0.000000,0.000014
1949,0.000000,0.000018
1950,0.000000,0.000017
1951,0.000000,0.000019
1952,0.000000,0.000018
1953,0.000000,0.000018
1954,0.000000,0.000023
1955,0.000000,0.000018
1956,0.000000,0.000021
1957,0.000000,0.000020
1958,0.000000,0.000020
1959,0.000000,0.000026
1960,0.000000,0.000026
1961,0.000000,0.000031
1962,0.000000,0.000031
1963,0.000000,0.000033
1964,0.000000,0.000031
1965,0.000000,0.000037
1966,0.000000,0.000032
1967,0.000000,0.000033
1968,0.000000,0.000035
1969,0.000000,0.000038
1970,0.000000,0.000039
1971,0.000000,0.000046
1972,0.000000,0.000053
1973,0.000000,0.000062
1974,0.000000,0.000061
1975,0.000000,0.000073
1976,0.000000,0.000068
1977,0.000000,0.000080
1978,0.000003,0.000098
1979,0.000002,0.000097
1980,0.000000,0.000119
1981,0.000000,0.000175
1982,0.000002,0.000175
1983,0.000003,0.000208
1984,0.000004,0.000306
1985,0.000004,0.000320
1986,0.000005,0.000333
1987,0.000004,0.000389
1988,0.000003,0.000346
1989,0.000004,0.000348
1990,0.000002,0.000353
1991,0.000003,0.000355
1992,0.000004,0.000353
1993,0.000004,0.000368
1994,0.000002,0.000346
1995,0.000003,0.000364
1996,0.000003,0.000403
1997,0.000000,0.000407
1998,0.000002,0.000409
1999,0.000003,0.000428
2000,0.000003,0.000477
2001,0.000002,0.000496
2002,0.000003,0.000544
2003,0.000002,0.000560
2004,0.000003,0.000615
2005,0.000001,0.000670
2006,0.000000,0.000629
2007,0.000003,0.000679
2008,0.000002,0.000729
2009,0.000002,0.000717
2010,0.000003,0.000691
2011,0.000002,0.000732
2012,0.000004,0.000642
