year,Ezekiel (F),Ezekiel (M)
1880,0.000000,0.000079
1881,0.000000,0.000114
1882,0.000000,0.000050
1883,0.000000,0.000065
1884,0.000000,0.000053
1885,0.000000,0.000042
1886,0.000000,0.000067
1887,0.000000,0.000044
1888,0.000000,0.000053
1889,0.000000,0.000048
1890,0.000000,0.000030
1891,0.000000,0.000031
1892,0.000000,0.000054
1893,0.000000,0.000043
1894,0.000000,0.000041
1895,0.000000,0.000026
1896,0.000000,0.000045
1897,0.000000,0.000029
1898,0.000000,0.000016
1899,0.000000,0.000029
1900,0.000000,0.000042
1901,0.000000,0.000023
1902,0.000000,0.000021
1903,0.000000,0.000026
1904,0.000000,0.000015
1905,0.000000,0.000026
1906,0.000000,0.000019
1907,0.000000,0.000034
1908,0.000000,0.000027
1909,0.000000,0.000037
1910,0.000000,0.000034
1911,0.000000,0.000025
1912,0.000000,0.000027
1913,0.000000,0.000031
1914,0.000000,0.000027
1915,0.000000,0.000026
1916,0.000000,0.000023
1917,0.000000,0.000024
1918,0.000000,0.000023
1919,0.000000,0.000022
1920,0.000000,0.000023
1921,0.000000,0.000024
1922,0.000000,0.000025
1923,0.000000,0.000022
1924,0.000000,0.000023
1925,0.000000,0.000018
1926,0.000000,0.000025
1927,0.000000,0.000025
1928,0.000000,0.000018
1929,0.000000,0.000019
1930,0.000000,0.000024
1931,0.000000,0.000020
1932,0.000000,0.000020
1933,0.000000,0.000022
1934,0.000000,0.000021
1935,0.000000,0.000016
1936,0.000000,0.000018
1937,0.000000,0.000017
1938,0.000000,0.000020
1939,0.000000,0.000014
1940,0.000000,0.000021
1941,0.000000,0.000018
1942,0.000000,0.000013
1943,0.000000,0.000016
1944,0.000000,0.000017
1945,0.000000,0.000020
1946,0.000000,0.000013
1947,0.000000,0.000016
1948,0.000000,0.000015
1949,0.000000,0.000015
1950,0.000000,0.000013
1951,0.000000,0.000011
1952,0.000000,0.000011
1953,0.000000,0.000015
1954,0.000000,0.000010
1955,0.000000,0.000010
1956,0.000000,0.000011
1957,0.000000,0.000008
1958,0.000000,0.000009
1959,0.000000,0.000008
1960,0.000000,0.000013
1961,0.000000,0.000009
1962,0.000000,0.000006
1963,0.000000,0.000008
1964,0.000000,0.000010
1965,0.000000,0.000009
1966,0.000000,0.000008
1967,0.000000,0.000010
1968,0.000000,0.000007
1969,0.000000,0.000012
1970,0.000000,0.000011
1971,0.000000,0.000014
1972,0.000000,0.000019
1973,0.000000,0.000020
1974,0.000000,0.000026
1975,0.000000,0.000029
1976,0.000000,0.000025
1977,0.000000,0.000039
1978,0.000000,0.000040
1979,0.000000,0.000036
1980,0.000000,0.000034
1981,0.000000,0.000034
1982,0.000000,0.000037
1983,0.000000,0.000043
1984,0.000000,0.000046
1985,0.000000,0.000033
1986,0.000000,0.000042
1987,0.000000,0.000045
1988,0.000000,0.000052
1989,0.000000,0.000058
1990,0.000000,0.000067
1991,0.000000,0.000065
1992,0.000000,0.000068
1993,0.000000,0.000078
1994,0.000000,0.000078
1995,0.000000,0.000091
1996,0.000000,0.000106
1997,0.000000,0.000129
1998,0.000000,0.000135
1999,0.000000,0.000187
2000,0.000000,0.000195
2001,0.000000,0.000195
2002,0.000000,0.000212
2003,0.000000,0.000240
2004,0.000000,0.000258
2005,0.000000,0.000278
2006,0.000000,0.000326
2007,0.000000,0.000360
2008,0.000000,0.000392
2009,0.000000,0.000421
2010,0.000000,0.000456
2011,0.000000,0.000511
2012,0.000000,0.000528
2013,0.000002,0.000601
