year,Enos (F),Enos (M)
1880,0.000000,0.000069
1881,0.000000,0.000088
1882,0.000000,0.000072
1883,0.000000,0.000088
1884,0.000000,0.000078
1885,0.000000,0.000100
1886,0.000000,0.000059
1887,0.000000,0.000049
1888,0.000000,0.000067
1889,0.000000,0.000021
1890,0.000000,0.000040
1891,0.000000,0.000024
1892,0.000000,0.000042
1893,0.000000,0.000043
1894,0.000000,0.000032
1895,0.000000,0.000028
1896,0.000000,0.000022
1897,0.000000,0.000017
1898,0.000000,0.000052
1899,0.000000,0.000024
1900,0.000000,0.000020
1901,0.000000,0.000026
1902,0.000000,0.000018
1903,0.000000,0.000031
1904,0.000000,0.000032
1905,0.000000,0.000021
1906,0.000000,0.000023
1907,0.000000,0.000034
1908,0.000000,0.000016
1909,0.000000,0.000023
1910,0.000000,0.000022
1911,0.000000,0.000026
1912,0.000000,0.000033
1913,0.000000,0.000022
1914,0.000000,0.000028
1915,0.000000,0.000028
1916,0.000000,0.000024
1917,0.000000,0.000025
1918,0.000000,0.000022
1919,0.000000,0.000027
1920,0.000000,0.000019
1921,0.000000,0.000026
1922,0.000000,0.000021
1923,0.000000,0.000021
1924,0.000000,0.000022
1925,0.000000,0.000024
1926,0.000000,0.000022
1927,0.000000,0.000023
1928,0.000000,0.000021
1929,0.000000,0.000016
1930,0.000000,0.000017
1931,0.000000,0.000014
1932,0.000000,0.000014
1933,0.000000,0.000014
1934,0.000000,0.000019
1935,0.000000,0.000011
1936,0.000000,0.000018
1937,0.000000,0.000016
1938,0.000000,0.000013
1939,0.000000,0.000014
1940,0.000000,0.000012
1941,0.000000,0.000012
1942,0.000000,0.000012
1943,0.000000,0.000015
1944,0.000000,0.000011
1945,0.000000,0.000008
1946,0.000000,0.000008
1947,0.000000,0.000008
1948,0.000000,0.000009
1949,0.000000,0.000010
1950,0.000000,0.000011
1951,0.000000,0.000008
1952,0.000000,0.000007
1953,0.000000,0.000006
1954,0.000000,0.000007
1955,0.000000,0.000007
1956,0.000000,0.000008
1957,0.000000,0.000008
1958,0.000000,0.000007
1959,0.000000,0.000005
1960,0.000000,0.000005
1961,0.000000,0.000006
1962,0.000000,0.000004
1963,0.000000,0.000005
1964,0.000000,0.000006
1965,0.000000,0.000006
1966,0.000000,0.000004
1967,0.000000,0.000007
1968,0.000000,0.000003
1969,0.000000,0.000007
1970,0.000000,0.000004
1971,0.000000,0.000006
1972,0.000000,0.000008
1973,0.000000,0.000010
1974,0.000000,0.000007
1975,0.000000,0.000005
1976,0.000000,0.000008
1977,0.000000,0.000010
1978,0.000000,0.000006
1979,0.000000,0.000011
1980,0.000000,0.000008
1981,0.000000,0.000009
1982,0.000000,0.000007
1983,0.000000,0.000006
1984,0.000000,0.000006
1985,0.000000,0.000005
1986,0.000000,0.000006
1987,0.000000,0.000009
1988,0.000000,0.000008
1989,0.000000,0.000007
1990,0.000000,0.000005
1991,0.000000,0.000005
1992,0.000000,0.000006
1993,0.000000,0.000006
1994,0.000000,0.000008
1995,0.000000,0.000007
1996,0.000000,0.000007
1997,0.000000,0.000006
1998,0.000000,0.000006
1999,0.000000,0.000006
2000,0.000000,0.000005
2001,0.000000,0.000006
2002,0.000000,0.000006
2003,0.000000,0.000007
2004,0.000000,0.000005
2005,0.000000,0.000004
2006,0.000000,0.000004
2007,0.000000,0.000005
2008,0.000000,0.000006
2009,0.000000,0.000004
2010,0.000000,0.000008
2011,0.000000,0.000011
2012,0.000000,0.000008
2013,0.000000,0.000005
