year,Erikka
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,5
1968,7
1969,13
1970,23
1971,23
1972,22
1973,13
1974,21
1975,23
1976,13
1977,28
1978,22
1979,19
1980,25
1981,28
1982,23
1983,33
1984,29
1985,36
1986,30
1987,37
1988,48
1989,34
1990,50
1991,45
1992,43
1993,38
1994,25
1995,26
1996,24
1997,30
1998,23
1999,17
2000,18
2001,12
2002,10
2003,15
2004,0
2005,15
2006,9
2007,5
2008,6
2009,5
2010,10
2011,0
2012,0
