year,Emmy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,8
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,8
1895,0
1896,7
1897,5
1898,10
1899,8
1900,7
1901,6
1902,0
1903,8
1904,10
1905,0
1906,0
1907,7
1908,0
1909,6
1910,9
1911,10
1912,5
1913,17
1914,19
1915,14
1916,18
1917,24
1918,19
1919,25
1920,22
1921,26
1922,27
1923,34
1924,28
1925,40
1926,31
1927,41
1928,29
1929,34
1930,26
1931,28
1932,21
1933,16
1934,24
1935,14
1936,16
1937,13
1938,21
1939,17
1940,19
1941,22
1942,21
1943,25
1944,17
1945,11
1946,22
1947,24
1948,21
1949,15
1950,19
1951,19
1952,17
1953,33
1954,26
1955,29
1956,16
1957,21
1958,21
1959,23
1960,20
1961,18
1962,19
1963,19
1964,17
1965,10
1966,14
1967,15
1968,14
1969,12
1970,21
1971,26
1972,21
1973,21
1974,33
1975,36
1976,51
1977,67
1978,57
1979,58
1980,91
1981,82
1982,59
1983,47
1984,40
1985,42
1986,29
1987,46
1988,50
1989,42
1990,39
1991,50
1992,54
1993,61
1994,41
1995,50
1996,57
1997,51
1998,65
1999,76
2000,82
2001,99
2002,117
2003,139
2004,156
2005,194
2006,198
2007,283
2008,282
2009,295
2010,272
2011,350
2012,384
