year,Emmie
1880,12
1881,18
1882,11
1883,10
1884,20
1885,13
1886,28
1887,25
1888,26
1889,29
1890,36
1891,32
1892,39
1893,30
1894,23
1895,38
1896,48
1897,28
1898,33
1899,41
1900,48
1901,38
1902,44
1903,29
1904,26
1905,32
1906,29
1907,20
1908,37
1909,37
1910,46
1911,40
1912,48
1913,55
1914,65
1915,81
1916,66
1917,81
1918,64
1919,73
1920,76
1921,87
1922,103
1923,68
1924,70
1925,65
1926,68
1927,70
1928,57
1929,45
1930,60
1931,55
1932,55
1933,39
1934,47
1935,49
1936,41
1937,46
1938,44
1939,42
1940,37
1941,29
1942,31
1943,31
1944,31
1945,13
1946,34
1947,35
1948,30
1949,35
1950,35
1951,27
1952,20
1953,22
1954,25
1955,23
1956,20
1957,25
1958,22
1959,10
1960,10
1961,16
1962,20
1963,15
1964,22
1965,13
1966,10
1967,13
1968,10
1969,13
1970,5
1971,6
1972,15
1973,5
1974,17
1975,20
1976,11
1977,13
1978,21
1979,18
1980,20
1981,17
1982,18
1983,13
1984,21
1985,7
1986,9
1987,11
1988,23
1989,22
1990,24
1991,20
1992,13
1993,21
1994,24
1995,30
1996,24
1997,22
1998,31
1999,44
2000,53
2001,67
2002,85
2003,82
2004,80
2005,104
2006,118
2007,102
2008,168
2009,152
2010,176
2011,188
2012,201
