year,Elmyra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,12
1894,0
1895,5
1896,7
1897,7
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,7
1905,6
1906,6
1907,7
1908,7
1909,5
1910,7
1911,6
1912,9
1913,11
1914,10
1915,24
1916,14
1917,21
1918,11
1919,14
1920,24
1921,15
1922,21
1923,15
1924,18
1925,19
1926,11
1927,12
1928,10
1929,7
1930,16
1931,14
1932,12
1933,11
1934,9
1935,9
1936,5
1937,6
1938,6
1939,7
1940,5
1941,0
1942,0
1943,7
1944,6
1945,5
1946,8
1947,0
1948,0
1949,6
1950,6
1951,0
1952,10
1953,5
1954,5
1955,0
1956,6
1957,0
1958,6
1959,9
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
