year,Elese
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,7
1910,5
1911,0
1912,5
1913,5
1914,5
1915,7
1916,11
1917,12
1918,21
1919,14
1920,7
1921,11
1922,16
1923,5
1924,14
1925,14
1926,14
1927,10
1928,7
1929,8
1930,5
1931,5
1932,6
1933,5
1934,7
1935,0
1936,6
1937,0
1938,5
1939,0
1940,0
1941,7
1942,5
1943,6
1944,8
1945,0
1946,5
1947,5
1948,0
1949,6
1950,0
1951,0
1952,8
1953,0
1954,5
1955,0
1956,0
1957,5
1958,7
1959,0
1960,7
1961,0
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,5
1979,0
1980,0
1981,0
1982,5
1983,6
1984,6
1985,5
1986,5
1987,7
1988,7
1989,0
1990,5
1991,9
1992,5
1993,0
1994,7
1995,6
1996,9
1997,13
1998,8
1999,12
2000,10
2001,9
2002,11
2003,7
2004,7
2005,0
2006,0
2007,0
2008,8
2009,5
2010,0
2011,5
2012,0
