year,Evelina
1880,8
1881,9
1882,7
1883,6
1884,5
1885,0
1886,9
1887,18
1888,12
1889,6
1890,11
1891,10
1892,11
1893,11
1894,11
1895,12
1896,14
1897,14
1898,11
1899,7
1900,17
1901,10
1902,13
1903,19
1904,19
1905,11
1906,21
1907,17
1908,22
1909,15
1910,16
1911,16
1912,21
1913,19
1914,28
1915,29
1916,35
1917,37
1918,31
1919,34
1920,32
1921,35
1922,36
1923,31
1924,38
1925,42
1926,35
1927,36
1928,40
1929,34
1930,31
1931,30
1932,33
1933,34
1934,18
1935,23
1936,13
1937,25
1938,28
1939,31
1940,29
1941,32
1942,22
1943,20
1944,26
1945,18
1946,33
1947,30
1948,18
1949,34
1950,32
1951,31
1952,40
1953,29
1954,27
1955,35
1956,32
1957,38
1958,18
1959,29
1960,30
1961,43
1962,28
1963,33
1964,25
1965,25
1966,25
1967,31
1968,24
1969,16
1970,22
1971,10
1972,15
1973,17
1974,10
1975,16
1976,17
1977,14
1978,18
1979,12
1980,19
1981,24
1982,118
1983,43
1984,38
1985,21
1986,18
1987,16
1988,16
1989,16
1990,28
1991,18
1992,26
1993,21
1994,31
1995,28
1996,30
1997,25
1998,35
1999,31
2000,30
2001,33
2002,42
2003,54
2004,44
2005,58
2006,61
2007,80
2008,76
2009,83
2010,95
2011,113
2012,115
