year,Edmund (F),Edmund (M)
1880,0.000000,0.000333
1881,0.000000,0.000317
1882,0.000000,0.000320
1883,0.000000,0.000290
1884,0.000000,0.000296
1885,0.000000,0.000282
1886,0.000000,0.000313
1887,0.000000,0.000247
1888,0.000000,0.000254
1889,0.000000,0.000308
1890,0.000000,0.000179
1891,0.000000,0.000213
1892,0.000000,0.000278
1893,0.000000,0.000246
1894,0.000000,0.000283
1895,0.000000,0.000256
1896,0.000000,0.000308
1897,0.000000,0.000277
1898,0.000000,0.000265
1899,0.000000,0.000256
1900,0.000000,0.000209
1901,0.000000,0.000275
1902,0.000000,0.000269
1903,0.000000,0.000268
1904,0.000000,0.000270
1905,0.000000,0.000255
1906,0.000000,0.000285
1907,0.000000,0.000277
1908,0.000000,0.000289
1909,0.000000,0.000288
1910,0.000000,0.000339
1911,0.000000,0.000365
1912,0.000005,0.000457
1913,0.000000,0.000527
1914,0.000000,0.000559
1915,0.000000,0.000524
1916,0.000000,0.000533
1917,0.000002,0.000521
1918,0.000000,0.000506
1919,0.000002,0.000477
1920,0.000000,0.000488
1921,0.000000,0.000473
1922,0.000002,0.000443
1923,0.000000,0.000497
1924,0.000003,0.000468
1925,0.000000,0.000447
1926,0.000003,0.000441
1927,0.000002,0.000401
1928,0.000002,0.000403
1929,0.000003,0.000379
1930,0.000002,0.000363
1931,0.000000,0.000336
1932,0.000000,0.000327
1933,0.000000,0.000284
1934,0.000000,0.000289
1935,0.000000,0.000270
1936,0.000000,0.000267
1937,0.000000,0.000245
1938,0.000000,0.000232
1939,0.000000,0.000212
1940,0.000000,0.000216
1941,0.000000,0.000236
1942,0.000000,0.000220
1943,0.000000,0.000236
1944,0.000000,0.000206
1945,0.000000,0.000180
1946,0.000000,0.000199
1947,0.000000,0.000176
1948,0.000000,0.000167
1949,0.000000,0.000168
1950,0.000000,0.000158
1951,0.000000,0.000170
1952,0.000000,0.000174
1953,0.000000,0.000161
1954,0.000000,0.000152
1955,0.000000,0.000150
1956,0.000000,0.000144
1957,0.000000,0.000158
1958,0.000000,0.000138
1959,0.000000,0.000128
1960,0.000000,0.000123
1961,0.000000,0.000126
1962,0.000000,0.000116
1963,0.000000,0.000119
1964,0.000000,0.000124
1965,0.000000,0.000119
1966,0.000000,0.000113
1967,0.000000,0.000109
1968,0.000000,0.000103
1969,0.000000,0.000096
1970,0.000000,0.000083
1971,0.000000,0.000083
1972,0.000000,0.000078
1973,0.000000,0.000073
1974,0.000000,0.000074
1975,0.000000,0.000069
1976,0.000000,0.000065
1977,0.000000,0.000086
1978,0.000000,0.000085
1979,0.000002,0.000096
1980,0.000000,0.000078
1981,0.000000,0.000073
1982,0.000000,0.000064
1983,0.000000,0.000052
1984,0.000000,0.000050
1985,0.000000,0.000049
1986,0.000000,0.000055
1987,0.000000,0.000053
1988,0.000000,0.000044
1989,0.000000,0.000041
1990,0.000000,0.000039
1991,0.000000,0.000038
1992,0.000000,0.000038
1993,0.000000,0.000035
1994,0.000000,0.000038
1995,0.000000,0.000032
1996,0.000000,0.000035
1997,0.000000,0.000041
1998,0.000000,0.000032
1999,0.000000,0.000034
2000,0.000000,0.000032
2001,0.000000,0.000031
2002,0.000000,0.000030
2003,0.000000,0.000031
2004,0.000000,0.000031
2005,0.000000,0.000027
2006,0.000000,0.000025
2007,0.000000,0.000025
2008,0.000000,0.000030
2009,0.000000,0.000033
2010,0.000000,0.000026
2011,0.000000,0.000030
2012,0.000000,0.000038
2013,0.000000,0.000041
2014,0.000000,0.000048
2015,0.000000,0.000047
2016,0.000000,0.000052
2017,0.000000,0.000046
2018,0.000000,0.000048
2019,0.000000,0.000046
2020,0.000000,0.000037
