year,Erastus
1880,19
1881,11
1882,14
1883,0
1884,10
1885,15
1886,10
1887,11
1888,12
1889,0
1890,0
1891,7
1892,0
1893,6
1894,0
1895,0
1896,12
1897,5
1898,5
1899,0
1900,5
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,10
1913,7
1914,13
1915,21
1916,23
1917,6
1918,14
1919,16
1920,10
1921,18
1922,10
1923,11
1924,10
1925,8
1926,12
1927,10
1928,7
1929,7
1930,6
1931,0
1932,0
1933,5
1934,5
1935,0
1936,0
1937,0
1938,0
1939,7
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,8
1947,0
1948,0
1949,6
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,5
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
