year,Evaline
1880,6
1881,6
1882,8
1883,7
1884,13
1885,9
1886,6
1887,9
1888,10
1889,7
1890,9
1891,5
1892,8
1893,7
1894,10
1895,11
1896,0
1897,5
1898,12
1899,7
1900,15
1901,11
1902,6
1903,9
1904,8
1905,9
1906,13
1907,12
1908,11
1909,12
1910,21
1911,14
1912,25
1913,21
1914,17
1915,38
1916,42
1917,29
1918,30
1919,29
1920,35
1921,23
1922,34
1923,41
1924,36
1925,40
1926,21
1927,30
1928,26
1929,28
1930,14
1931,20
1932,25
1933,13
1934,15
1935,16
1936,15
1937,12
1938,6
1939,17
1940,11
1941,10
1942,9
1943,12
1944,6
1945,10
1946,7
1947,9
1948,8
1949,11
1950,12
1951,7
1952,0
1953,6
1954,7
1955,13
1956,6
1957,7
1958,6
1959,6
1960,8
1961,6
1962,5
1963,7
1964,5
1965,0
1966,6
1967,0
1968,6
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,8
1988,10
1989,5
1990,9
1991,9
1992,8
1993,7
1994,0
1995,6
1996,7
1997,6
1998,0
1999,9
2000,5
2001,11
2002,8
2003,0
2004,0
2005,9
2006,5
2007,9
2008,12
2009,21
2010,19
2011,20
2012,19
