year,Elwood (F),Elwood (M)
1880,0.000000,0.000114
1881,0.000000,0.000150
1882,0.000000,0.000135
1883,0.000000,0.000111
1884,0.000000,0.000107
1885,0.000000,0.000116
1886,0.000000,0.000121
1887,0.000000,0.000097
1888,0.000000,0.000104
1889,0.000000,0.000100
1890,0.000000,0.000080
1891,0.000000,0.000119
1892,0.000000,0.000120
1893,0.000000,0.000089
1894,0.000000,0.000097
1895,0.000000,0.000122
1896,0.000000,0.000098
1897,0.000000,0.000141
1898,0.000000,0.000092
1899,0.000000,0.000100
1900,0.000000,0.000113
1901,0.000000,0.000142
1902,0.000000,0.000085
1903,0.000000,0.000152
1904,0.000000,0.000129
1905,0.000000,0.000085
1906,0.000000,0.000114
1907,0.000000,0.000112
1908,0.000000,0.000121
1909,0.000000,0.000129
1910,0.000000,0.000157
1911,0.000000,0.000177
1912,0.000000,0.000265
1913,0.000000,0.000283
1914,0.000000,0.000263
1915,0.000000,0.000289
1916,0.000000,0.000272
1917,0.000000,0.000263
1918,0.000000,0.000263
1919,0.000000,0.000279
1920,0.000000,0.000259
1921,0.000005,0.000263
1922,0.000000,0.000260
1923,0.000000,0.000245
1924,0.000000,0.000254
1925,0.000003,0.000244
1926,0.000002,0.000236
1927,0.000003,0.000229
1928,0.000002,0.000211
1929,0.000002,0.000186
1930,0.000002,0.000207
1931,0.000000,0.000200
1932,0.000000,0.000177
1933,0.000004,0.000193
1934,0.000000,0.000180
1935,0.000000,0.000150
1936,0.000000,0.000143
1937,0.000000,0.000153
1938,0.000000,0.000142
1939,0.000000,0.000127
1940,0.000000,0.000125
1941,0.000000,0.000124
1942,0.000000,0.000104
1943,0.000000,0.000101
1944,0.000000,0.000094
1945,0.000000,0.000084
1946,0.000000,0.000075
1947,0.000000,0.000075
1948,0.000000,0.000069
1949,0.000000,0.000059
1950,0.000000,0.000051
1951,0.000000,0.000057
1952,0.000000,0.000051
1953,0.000000,0.000043
1954,0.000000,0.000048
1955,0.000000,0.000039
1956,0.000000,0.000037
1957,0.000000,0.000034
1958,0.000000,0.000031
1959,0.000000,0.000029
1960,0.000000,0.000029
1961,0.000000,0.000025
1962,0.000000,0.000027
1963,0.000000,0.000023
1964,0.000000,0.000026
1965,0.000000,0.000021
1966,0.000000,0.000022
1967,0.000000,0.000020
1968,0.000000,0.000020
1969,0.000000,0.000019
1970,0.000000,0.000015
1971,0.000000,0.000017
1972,0.000000,0.000014
1973,0.000000,0.000017
1974,0.000000,0.000013
1975,0.000000,0.000012
1976,0.000000,0.000014
1977,0.000000,0.000008
1978,0.000000,0.000013
1979,0.000000,0.000010
1980,0.000000,0.000010
1981,0.000000,0.000009
1982,0.000000,0.000009
1983,0.000000,0.000005
1984,0.000000,0.000005
1985,0.000000,0.000005
1986,0.000000,0.000006
1987,0.000000,0.000005
1988,0.000000,0.000005
1989,0.000000,0.000008
1990,0.000000,0.000005
1991,0.000000,0.000005
1992,0.000000,0.000003
1993,0.000000,0.000003
1994,0.000000,0.000004
1995,0.000000,0.000002
1996,0.000000,0.000005
1997,0.000000,0.000004
1998,0.000000,0.000004
1999,0.000000,0.000004
2000,0.000000,0.000004
2001,0.000000,0.000003
2002,0.000000,0.000001
2003,0.000000,0.000003
2004,0.000000,0.000003
2005,0.000000,0.000003
2006,0.000000,0.000003
2007,0.000000,0.000003
2008,0.000000,0.000003
2009,0.000000,0.000004
2010,0.000000,0.000005
2011,0.000000,0.000005
2012,0.000000,0.000005
