year,Emory (F),Emory (M)
1880,0.000000,0.000199
1881,0.000000,0.000218
1882,0.000000,0.000172
1883,0.000000,0.000175
1884,0.000000,0.000156
1885,0.000000,0.000141
1886,0.000000,0.000145
1887,0.000000,0.000133
1888,0.000000,0.000117
1889,0.000000,0.000128
1890,0.000000,0.000096
1891,0.000000,0.000080
1892,0.000000,0.000114
1893,0.000000,0.000083
1894,0.000000,0.000118
1895,0.000000,0.000120
1896,0.000000,0.000129
1897,0.000000,0.000112
1898,0.000000,0.000097
1899,0.000000,0.000121
1900,0.000000,0.000115
1901,0.000000,0.000127
1902,0.000000,0.000150
1903,0.000000,0.000084
1904,0.000000,0.000104
1905,0.000000,0.000101
1906,0.000000,0.000091
1907,0.000000,0.000112
1908,0.000000,0.000086
1909,0.000000,0.000111
1910,0.000000,0.000093
1911,0.000000,0.000115
1912,0.000000,0.000118
1913,0.000000,0.000133
1914,0.000000,0.000133
1915,0.000003,0.000123
1916,0.000000,0.000118
1917,0.000002,0.000119
1918,0.000000,0.000104
1919,0.000005,0.000106
1920,0.000000,0.000136
1921,0.000002,0.000112
1922,0.000003,0.000115
1923,0.000000,0.000106
1924,0.000000,0.000110
1925,0.000003,0.000112
1926,0.000003,0.000098
1927,0.000000,0.000098
1928,0.000004,0.000101
1929,0.000003,0.000102
1930,0.000003,0.000091
1931,0.000002,0.000104
1932,0.000000,0.000108
1933,0.000003,0.000095
1934,0.000000,0.000079
1935,0.000003,0.000083
1936,0.000000,0.000095
1937,0.000000,0.000087
1938,0.000000,0.000077
1939,0.000002,0.000081
1940,0.000002,0.000081
1941,0.000002,0.000072
1942,0.000002,0.000075
1943,0.000003,0.000067
1944,0.000000,0.000067
1945,0.000000,0.000060
1946,0.000000,0.000058
1947,0.000000,0.000049
1948,0.000000,0.000059
1949,0.000000,0.000043
1950,0.000001,0.000047
1951,0.000000,0.000038
1952,0.000000,0.000038
1953,0.000000,0.000042
1954,0.000000,0.000043
1955,0.000001,0.000035
1956,0.000000,0.000032
1957,0.000001,0.000035
1958,0.000000,0.000026
1959,0.000000,0.000032
1960,0.000000,0.000032
1961,0.000000,0.000029
1962,0.000000,0.000031
1963,0.000000,0.000035
1964,0.000000,0.000038
1965,0.000001,0.000025
1966,0.000000,0.000031
1967,0.000000,0.000024
1968,0.000000,0.000027
1969,0.000000,0.000028
1970,0.000000,0.000023
1971,0.000000,0.000026
1972,0.000000,0.000020
1973,0.000000,0.000024
1974,0.000000,0.000023
1975,0.000000,0.000019
1976,0.000000,0.000020
1977,0.000002,0.000016
1978,0.000000,0.000020
1979,0.000002,0.000020
1980,0.000002,0.000023
1981,0.000002,0.000019
1982,0.000002,0.000022
1983,0.000002,0.000014
1984,0.000003,0.000015
1985,0.000003,0.000014
1986,0.000002,0.000015
1987,0.000000,0.000015
1988,0.000003,0.000015
1989,0.000002,0.000015
1990,0.000004,0.000015
1991,0.000007,0.000015
1992,0.000005,0.000015
1993,0.000008,0.000017
1994,0.000009,0.000019
1995,0.000011,0.000019
1996,0.000010,0.000019
1997,0.000013,0.000018
1998,0.000017,0.000022
1999,0.000018,0.000019
2000,0.000014,0.000026
2001,0.000020,0.000021
2002,0.000022,0.000023
2003,0.000026,0.000024
2004,0.000031,0.000031
2005,0.000026,0.000030
2006,0.000034,0.000035
2007,0.000045,0.000038
2008,0.000055,0.000034
2009,0.000066,0.000043
2010,0.000063,0.000050
2011,0.000069,0.000048
2012,0.000083,0.000057
2013,0.000093,0.000064
2014,0.000102,0.000069
2015,0.000123,0.000073
2016,0.000122,0.000074
2017,0.000131,0.000078
2018,0.000187,0.000082
2019,0.000188,0.000082
2020,0.000208,0.000085
