year,Elias (F),Elias (M)
1880,0.000000,0.000323
1881,0.000000,0.000213
1882,0.000000,0.000257
1883,0.000000,0.000203
1884,0.000000,0.000197
1885,0.000000,0.000249
1886,0.000000,0.000161
1887,0.000000,0.000137
1888,0.000000,0.000080
1889,0.000000,0.000125
1890,0.000000,0.000119
1891,0.000000,0.000084
1892,0.000000,0.000114
1893,0.000000,0.000108
1894,0.000000,0.000106
1895,0.000000,0.000083
1896,0.000000,0.000078
1897,0.000000,0.000069
1898,0.000000,0.000084
1899,0.000000,0.000059
1900,0.000000,0.000051
1901,0.000000,0.000049
1902,0.000000,0.000054
1903,0.000000,0.000052
1904,0.000000,0.000064
1905,0.000000,0.000068
1906,0.000000,0.000042
1907,0.000000,0.000069
1908,0.000000,0.000082
1909,0.000000,0.000055
1910,0.000000,0.000058
1911,0.000000,0.000070
1912,0.000000,0.000098
1913,0.000000,0.000103
1914,0.000000,0.000078
1915,0.000000,0.000062
1916,0.000000,0.000084
1917,0.000000,0.000077
1918,0.000000,0.000065
1919,0.000000,0.000080
1920,0.000000,0.000074
1921,0.000000,0.000064
1922,0.000000,0.000071
1923,0.000000,0.000070
1924,0.000000,0.000076
1925,0.000000,0.000083
1926,0.000000,0.000090
1927,0.000000,0.000080
1928,0.000000,0.000080
1929,0.000000,0.000081
1930,0.000002,0.000077
1931,0.000000,0.000071
1932,0.000000,0.000069
1933,0.000003,0.000071
1934,0.000000,0.000062
1935,0.000000,0.000062
1936,0.000000,0.000056
1937,0.000000,0.000053
1938,0.000000,0.000056
1939,0.000000,0.000063
1940,0.000000,0.000045
1941,0.000000,0.000057
1942,0.000000,0.000041
1943,0.000000,0.000038
1944,0.000000,0.000044
1945,0.000000,0.000049
1946,0.000000,0.000032
1947,0.000000,0.000039
1948,0.000000,0.000038
1949,0.000000,0.000041
1950,0.000000,0.000046
1951,0.000000,0.000043
1952,0.000000,0.000043
1953,0.000000,0.000042
1954,0.000000,0.000041
1955,0.000000,0.000037
1956,0.000001,0.000035
1957,0.000000,0.000034
1958,0.000000,0.000037
1959,0.000000,0.000037
1960,0.000000,0.000041
1961,0.000000,0.000046
1962,0.000000,0.000043
1963,0.000000,0.000047
1964,0.000000,0.000047
1965,0.000000,0.000047
1966,0.000000,0.000049
1967,0.000000,0.000047
1968,0.000000,0.000049
1969,0.000000,0.000058
1970,0.000000,0.000063
1971,0.000000,0.000065
1972,0.000000,0.000080
1973,0.000000,0.000077
1974,0.000000,0.000102
1975,0.000002,0.000101
1976,0.000002,0.000102
1977,0.000002,0.000115
1978,0.000003,0.000112
1979,0.000000,0.000112
1980,0.000000,0.000112
1981,0.000000,0.000114
1982,0.000000,0.000116
1983,0.000000,0.000113
1984,0.000000,0.000100
1985,0.000000,0.000120
1986,0.000000,0.000118
1987,0.000002,0.000143
1988,0.000002,0.000148
1989,0.000001,0.000167
1990,0.000000,0.000168
1991,0.000000,0.000181
1992,0.000000,0.000182
1993,0.000001,0.000204
1994,0.000000,0.000219
1995,0.000001,0.000243
1996,0.000002,0.000252
1997,0.000002,0.000285
1998,0.000000,0.000310
1999,0.000002,0.000330
2000,0.000001,0.000371
2001,0.000002,0.000406
2002,0.000000,0.000421
2003,0.000002,0.000450
2004,0.000002,0.000461
2005,0.000001,0.000551
2006,0.000000,0.000547
2007,0.000001,0.000591
2008,0.000002,0.000642
2009,0.000000,0.000651
2010,0.000002,0.000766
2011,0.000000,0.000818
2012,0.000002,0.000884
2013,0.000000,0.000962
