year,Edythe
1880,19
1881,19
1882,24
1883,23
1884,20
1885,39
1886,46
1887,51
1888,46
1889,57
1890,55
1891,53
1892,71
1893,71
1894,77
1895,88
1896,90
1897,98
1898,116
1899,91
1900,119
1901,123
1902,113
1903,90
1904,116
1905,117
1906,146
1907,153
1908,147
1909,151
1910,189
1911,181
1912,293
1913,318
1914,365
1915,542
1916,507
1917,561
1918,582
1919,517
1920,512
1921,521
1922,487
1923,423
1924,441
1925,386
1926,310
1927,293
1928,261
1929,191
1930,159
1931,176
1932,154
1933,138
1934,141
1935,115
1936,118
1937,113
1938,116
1939,103
1940,107
1941,107
1942,94
1943,95
1944,87
1945,92
1946,93
1947,95
1948,81
1949,82
1950,82
1951,76
1952,54
1953,63
1954,51
1955,58
1956,66
1957,69
1958,47
1959,57
1960,52
1961,36
1962,40
1963,50
1964,46
1965,41
1966,28
1967,18
1968,26
1969,15
1970,18
1971,20
1972,16
1973,15
1974,8
1975,11
1976,6
1977,10
1978,5
1979,8
1980,10
1981,7
1982,7
1983,0
1984,5
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,5
2006,7
2007,5
2008,0
2009,5
2010,8
2011,11
2012,8
