year,Elton (F),Elton (M)
1880,0.000000,0.000035
1881,0.000000,0.000073
1882,0.000000,0.000090
1883,0.000000,0.000032
1884,0.000000,0.000058
1885,0.000000,0.000000
1886,0.000000,0.000047
1887,0.000000,0.000081
1888,0.000000,0.000053
1889,0.000000,0.000066
1890,0.000000,0.000053
1891,0.000000,0.000045
1892,0.000000,0.000054
1893,0.000000,0.000071
1894,0.000000,0.000047
1895,0.000000,0.000046
1896,0.000000,0.000048
1897,0.000000,0.000046
1898,0.000000,0.000052
1899,0.000000,0.000062
1900,0.000000,0.000087
1901,0.000000,0.000055
1902,0.000000,0.000067
1903,0.000016,0.000100
1904,0.000000,0.000069
1905,0.000000,0.000087
1906,0.000000,0.000082
1907,0.000000,0.000080
1908,0.000000,0.000098
1909,0.000020,0.000119
1910,0.000000,0.000078
1911,0.000000,0.000101
1912,0.000008,0.000136
1913,0.000000,0.000135
1914,0.000004,0.000167
1915,0.000004,0.000173
1916,0.000004,0.000166
1917,0.000005,0.000159
1918,0.000000,0.000146
1919,0.000003,0.000156
1920,0.000006,0.000174
1921,0.000006,0.000165
1922,0.000003,0.000156
1923,0.000003,0.000153
1924,0.000003,0.000160
1925,0.000000,0.000139
1926,0.000005,0.000142
1927,0.000006,0.000166
1928,0.000003,0.000146
1929,0.000002,0.000138
1930,0.000000,0.000137
1931,0.000003,0.000134
1932,0.000000,0.000141
1933,0.000005,0.000146
1934,0.000003,0.000150
1935,0.000000,0.000124
1936,0.000002,0.000121
1937,0.000000,0.000110
1938,0.000000,0.000113
1939,0.000000,0.000106
1940,0.000000,0.000103
1941,0.000000,0.000089
1942,0.000000,0.000079
1943,0.000002,0.000091
1944,0.000000,0.000096
1945,0.000000,0.000083
1946,0.000000,0.000069
1947,0.000000,0.000065
1948,0.000000,0.000067
1949,0.000000,0.000067
1950,0.000000,0.000060
1951,0.000000,0.000074
1952,0.000000,0.000063
1953,0.000000,0.000076
1954,0.000002,0.000074
1955,0.000000,0.000070
1956,0.000000,0.000069
1957,0.000000,0.000074
1958,0.000000,0.000068
1959,0.000000,0.000064
1960,0.000000,0.000058
1961,0.000000,0.000050
1962,0.000000,0.000053
1963,0.000000,0.000044
1964,0.000000,0.000045
1965,0.000000,0.000048
1966,0.000000,0.000038
1967,0.000000,0.000034
1968,0.000000,0.000032
1969,0.000000,0.000025
1970,0.000000,0.000034
1971,0.000000,0.000045
1972,0.000000,0.000053
1973,0.000000,0.000063
1974,0.000000,0.000082
1975,0.000002,0.000094
1976,0.000000,0.000072
1977,0.000000,0.000056
1978,0.000000,0.000049
1979,0.000000,0.000038
1980,0.000000,0.000038
1981,0.000000,0.000036
1982,0.000000,0.000039
1983,0.000000,0.000033
1984,0.000000,0.000034
1985,0.000000,0.000027
1986,0.000000,0.000025
1987,0.000000,0.000024
1988,0.000000,0.000024
1989,0.000000,0.000023
1990,0.000000,0.000030
1991,0.000000,0.000021
1992,0.000000,0.000023
1993,0.000000,0.000023
1994,0.000000,0.000017
1995,0.000000,0.000019
1996,0.000000,0.000022
1997,0.000000,0.000023
1998,0.000000,0.000020
1999,0.000000,0.000018
2000,0.000000,0.000025
2001,0.000000,0.000019
2002,0.000000,0.000020
2003,0.000000,0.000013
2004,0.000000,0.000021
2005,0.000000,0.000017
2006,0.000000,0.000017
2007,0.000000,0.000014
2008,0.000000,0.000016
2009,0.000000,0.000017
2010,0.000000,0.000015
2011,0.000000,0.000017
2012,0.000000,0.000015
2013,0.000000,0.000012
2014,0.000000,0.000018
2015,0.000000,0.000017
2016,0.000000,0.000016
2017,0.000000,0.000014
2018,0.000000,0.000021
2019,0.000000,0.000023
2020,0.000000,0.000027
