year,Estrellita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,6
1942,0
1943,7
1944,5
1945,5
1946,6
1947,0
1948,10
1949,9
1950,7
1951,12
1952,8
1953,10
1954,12
1955,13
1956,10
1957,11
1958,10
1959,5
1960,10
1961,10
1962,7
1963,7
1964,9
1965,6
1966,7
1967,12
1968,6
1969,5
1970,0
1971,8
1972,5
1973,5
1974,6
1975,15
1976,10
1977,13
1978,14
1979,23
1980,24
1981,19
1982,14
1983,9
1984,9
1985,21
1986,18
1987,13
1988,15
1989,21
1990,9
1991,9
1992,25
1993,34
1994,24
1995,19
1996,7
1997,33
1998,16
1999,14
2000,24
2001,16
2002,24
2003,26
2004,18
2005,25
2006,34
2007,34
2008,29
2009,15
2010,14
2011,18
2012,22
