year,Edsel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,17
1916,31
1917,34
1918,41
1919,76
1920,55
1921,72
1922,113
1923,120
1924,138
1925,173
1926,174
1927,224
1928,156
1929,98
1930,104
1931,105
1932,70
1933,71
1934,55
1935,69
1936,52
1937,35
1938,59
1939,45
1940,60
1941,45
1942,35
1943,61
1944,37
1945,39
1946,39
1947,52
1948,40
1949,37
1950,49
1951,51
1952,55
1953,34
1954,36
1955,38
1956,28
1957,54
1958,56
1959,47
1960,27
1961,25
1962,27
1963,31
1964,23
1965,28
1966,13
1967,18
1968,28
1969,14
1970,12
1971,18
1972,12
1973,11
1974,18
1975,12
1976,15
1977,17
1978,12
1979,11
1980,20
1981,13
1982,12
1983,9
1984,16
1985,14
1986,10
1987,12
1988,16
1989,18
1990,20
1991,12
1992,13
1993,12
1994,11
1995,19
1996,9
1997,10
1998,10
1999,8
2000,8
2001,12
2002,14
2003,10
2004,11
2005,12
2006,0
2007,12
2008,20
2009,12
2010,17
2011,8
2012,0
